Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID
1.0,1.0,Male,vocational certificate,married,3.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,7.59,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4000.0,4000.0,60,Southern,Entrepreneur,1930
0.0,0.0,Female,,,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,65.81,112.0,4.31,1.0,11.0,64.0,1.0,5.0,48.0,1.0,6.0,25907.0,25868.0,44,Central,Corporate Employee,3859
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,Central,Corporate Employee,417
0.0,0.0,Male,others,others,4.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,17891.66,117.0,3.9,1.0,11.0,7.0,1.0,1.0,110.0,1.0,10.0,30451.1,23822.71,26,Southern,Corporate Employee,1692
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,3528.18,136.0,4.39,1.0,16.0,21.0,1.0,3.0,115.0,1.0,14.0,56820.0,60548.46,27,Central,Student,2488
0.0,0.0,Female,high school,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,889.15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,20.0,34,Central,Freelancer,228
0.0,0.0,Male,bachelor's degree,married,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,1471.15,20.0,1.54,1.0,3.0,5.0,1.0,2.0,15.0,1.0,3.0,7000.0,5697.09,69,Northern,Entrepreneur,1778
0.0,0.0,Female,less than high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,Central,Freelancer,2799
0.0,1.0,Male,bachelor's degree,divorce,10.0,9.0,6.0,2.0,3.0,1.0,0.0,1.0,37.55,75.0,3.26,1.0,9.0,33.0,1.0,4.0,42.0,1.0,6.0,76016.66,76119.32,38,Central,Corporate Employee,1043
0.0,0.0,Female,bachelor's degree,single,4.0,4.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,12.0,2.4,2.0,4.0,6.0,1.0,2.0,6.0,1.0,2.0,5100.0,5100.0,26,Central,Unemployed,4249
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,Central,Corporate Employee,2178
0.0,0.0,Female,,single,4.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,2151.19,62.0,2.38,1.0,7.0,16.0,1.0,2.0,46.0,1.0,5.0,13239.5,11960.0,28,Central,Corporate Employee,2888
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Northeastern,Corporate Employee,4222
0.0,0.0,Female,others,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,5305.15,54.0,2.57,1.0,7.0,19.0,1.0,7.0,35.0,1.0,5.0,24419.42,25757.43,22,Northern,Student,2219
1.0,0.0,Male,high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Eastern,Other,666
1.0,0.0,Female,high school,married,9.0,8.0,4.0,1.0,6.0,1.0,0.0,2.0,350.57,58.0,2.9,1.0,7.0,28.0,1.0,5.0,30.0,1.0,5.0,18029.0,18262.0,48,Central,Entrepreneur,2979
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Central,Student,1955
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Central,Corporate Employee,1435
0.0,1.0,Male,bachelor's degree,married,4.0,4.0,2.0,0.0,4.0,0.0,0.0,1.0,414.57,12.0,1.2,1.0,3.0,6.0,1.0,2.0,6.0,1.0,1.0,7703.0,12300.0,48,Central,Corporate Employee,2621
0.0,0.0,Male,others,married,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,506.39,16.0,3.2,1.0,8.0,3.0,1.0,2.0,13.0,1.0,6.0,42523.44,42450.0,47,Central,Corporate Employee,3438
0.0,1.0,Male,bachelor's degree,married,10.0,8.0,11.0,3.0,5.0,1.0,1.0,4.0,1116.57,486.0,15.68,4.0,39.0,126.0,1.0,7.0,360.0,3.0,33.0,563482.12,564258.06,50,Central,Entrepreneur,3356
0.0,1.0,Male,bachelor's degree,married,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,Central,Entrepreneur,4045
0.0,0.0,Male,high school,single,4.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,1299.48,369.0,12.72,1.0,23.0,298.0,6.0,17.0,71.0,1.0,6.0,111073.2,115513.0,22,Southern,Entrepreneur,184
0.0,1.0,Male,master's degree,married,4.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,549031.47,25.0,1.79,1.0,4.0,11.0,1.0,2.0,14.0,1.0,2.0,738095.37,429047.31,43,Central,Corporate Employee,1831
0.0,0.0,Male,bachelor's degree,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,Central,Corporate Employee,3906
0.0,0.0,Male,vocational certificate,single,5.0,5.0,2.0,0.0,4.0,1.0,0.0,2.0,13042.45,45.0,2.37,1.0,9.0,13.0,1.0,3.0,32.0,1.0,6.0,52511.13,49322.64,38,Northern,Corporate Employee,487
0.0,0.0,Female,bachelor's degree,single,6.0,6.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,50.0,4.17,1.0,11.0,24.0,1.0,8.0,26.0,1.0,5.0,28009.62,28009.62,28,Central,Corporate Employee,2644
0.0,0.0,Male,,married,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Central,Freelancer,2881
0.0,0.0,Female,vocational certificate,married,8.0,7.0,2.0,2.0,6.0,1.0,0.0,2.0,317.37,262.0,8.45,3.0,20.0,149.0,1.0,16.0,113.0,1.0,13.0,895214.0,903733.01,45,Central,Entrepreneur,2079
0.0,0.0,Female,vocational certificate,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,1.35,50.0,2.27,1.0,5.0,23.0,1.0,2.0,27.0,1.0,3.0,7700.0,7982.0,45,Central,Corporate Employee,1911
0.0,0.0,Male,others,others,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Southern,Student,140
0.0,0.0,Male,high school,single,5.0,5.0,2.0,1.0,2.0,1.0,0.0,1.0,210.12,49.0,3.77,1.0,8.0,22.0,1.0,3.0,27.0,1.0,5.0,124029.0,123819.0,40,Eastern,Entrepreneur,1607
0.0,0.0,Male,high school,single,6.0,6.0,1.0,4.0,4.0,1.0,0.0,1.0,15983.96,69.0,2.38,1.0,10.0,12.0,1.0,2.0,57.0,1.0,8.0,52107.85,53394.0,33,Eastern,Corporate Employee,2418
0.0,0.0,Female,others,single,6.0,5.0,3.0,0.0,4.0,0.0,0.0,1.0,106817.14,47.0,2.24,1.0,7.0,11.0,1.0,3.0,36.0,1.0,5.0,165505.0,154914.67,41,Central,Entrepreneur,1616
0.0,0.0,Female,others,others,5.0,5.0,5.0,0.0,3.0,1.0,0.0,1.0,1216.3,65.0,2.6,1.0,5.0,21.0,1.0,2.0,44.0,1.0,3.0,27521.34,27765.77,26,Central,Student,267
0.0,0.0,Male,,,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Northeastern,Professional,3863
0.0,1.0,Male,others,single,4.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,16.01,29.0,2.07,1.0,6.0,7.0,1.0,2.0,22.0,1.0,5.0,26955.88,36952.39,48,Central,Corporate Employee,4272
0.0,0.0,Male,bachelor's degree,married,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Northeastern,Other,3714
0.0,0.0,Male,high school,married,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Central,Corporate Employee,64
0.0,1.0,Female,high school,married,4.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,3012.93,52.0,2.6,1.0,5.0,17.0,1.0,2.0,35.0,1.0,4.0,59350.0,62658.0,33,Central,Entrepreneur,1566
0.0,0.0,Female,others,single,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1000000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,22508.19,33,Central,Freelancer,2587
0.0,0.0,Male,others,single,4.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,32202.32,21.0,1.5,1.0,3.0,2.0,2.0,2.0,19.0,1.0,3.0,15555.0,6673.93,29,Central,Corporate Employee,1703
0.0,0.0,Female,vocational certificate,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Northeastern,Corporate Employee,1339
1.0,1.0,Female,vocational certificate,married,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,20100.32,37.0,2.06,1.0,4.0,1.0,1.0,1.0,36.0,1.0,4.0,5000.0,26880.0,54,Western,Entrepreneur,2096
0.0,0.0,Female,doctorate's degree,single,3.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,59008.21,31.0,1.82,1.0,6.0,5.0,1.0,3.0,26.0,1.0,4.0,78429.22,58474.22,45,Northeastern,Professional,2277
0.0,0.0,Female,high school,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Southern,Freelancer,1226
0.0,0.0,Female,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Northeastern,Student,3433
0.0,0.0,Female,less than high school,married,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9846.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9000.0,0.0,63,Central,Corporate Employee,1430
0.0,1.0,Female,bachelor's degree,single,5.0,5.0,2.0,0.0,5.0,2.0,0.0,2.0,420.87,24.0,3.0,1.0,9.0,10.0,1.0,4.0,14.0,1.0,6.0,72191.0,71771.0,37,Eastern,Corporate Employee,2634
0.0,0.0,Male,others,single,4.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Northeastern,Entrepreneur,4256
0.0,0.0,Female,high school,single,3.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,Northern,Corporate Employee,1182
0.0,0.0,Male,bachelor's degree,married,8.0,7.0,4.0,3.0,5.0,1.0,0.0,2.0,992.31,33.0,2.2,1.0,3.0,7.0,1.0,1.0,26.0,1.0,3.0,28340.0,28841.72,41,Central,Corporate Employee,1583
0.0,0.0,Female,vocational certificate,single,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,186.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Eastern,Entrepreneur,3469
0.0,0.0,Male,,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,151.4,14.0,1.4,1.0,3.0,3.0,1.0,1.0,11.0,1.0,2.0,800.0,2060.0,19,Central,Student,1150
0.0,0.0,Female,high school,single,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,Central,Corporate Employee,104
0.0,0.0,Female,high school,divorce,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,Southern,Freelancer,1367
0.0,0.0,Male,,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,4359.91,55.0,2.75,1.0,6.0,13.0,1.0,2.0,42.0,1.0,5.0,67906.34,91705.06,26,Eastern,Student,1968
0.0,0.0,Female,others,single,5.0,5.0,1.0,0.0,5.0,3.0,0.0,1.0,0.96,56.0,2.24,1.0,4.0,23.0,1.0,3.0,33.0,1.0,3.0,8800.0,8800.0,55,Northeastern,Corporate Employee,4142
0.0,1.0,Female,bachelor's degree,single,5.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Central,Entrepreneur,4230
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,525.75,32.0,2.29,1.0,4.0,5.0,1.0,2.0,27.0,1.0,4.0,13000.0,13870.95,29,Northern,Other,509
0.0,1.0,Male,less than high school,married,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,420.66,8.0,2.0,1.0,3.0,2.0,1.0,1.0,6.0,1.0,2.0,130000.0,130599.0,53,Central,Entrepreneur,1422
0.0,0.0,Female,others,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,3835.19,26.0,2.0,1.0,5.0,7.0,1.0,1.0,19.0,1.0,4.0,5260.0,21125.43,25,Northeastern,Corporate Employee,970
0.0,0.0,Female,vocational certificate,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,Central,Freelancer,866
0.0,0.0,Female,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,Central,Student,2440
0.0,0.0,Female,others,married,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,Southern,Entrepreneur,991
0.0,1.0,Female,bachelor's degree,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,Central,Corporate Employee,3428
0.0,0.0,Female,less than high school,married,8.0,6.0,4.0,1.0,4.0,0.0,0.0,1.0,0.7,6.0,1.5,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,300.0,300.0,58,Southern,Entrepreneur,1718
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Southern,Corporate Employee,280
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,Central,Corporate Employee,1085
0.0,0.0,Male,less than high school,single,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Central,Student,3653
0.0,0.0,Female,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Central,Corporate Employee,3850
1.0,0.0,Male,vocational certificate,married,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6359.84,17.0,1.31,1.0,3.0,3.0,1.0,1.0,14.0,1.0,3.0,14695.0,20610.0,42,Northeastern,Corporate Employee,3709
0.0,0.0,Male,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Central,Freelancer,3931
0.0,0.0,Male,vocational certificate,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,100.84,49.0,2.04,1.0,5.0,21.0,1.0,3.0,28.0,1.0,3.0,20420.0,20620.63,25,Northeastern,Student,359
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Central,Student,3277
0.0,0.0,Male,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,Central,Corporate Employee,300
0.0,0.0,Male,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Southern,Student,1164
0.0,1.0,Male,bachelor's degree,married,6.0,6.0,1.0,1.0,5.0,0.0,0.0,1.0,35296.68,113.0,3.9,1.0,7.0,11.0,1.0,2.0,102.0,1.0,7.0,99000.0,74498.87,49,Southern,Entrepreneur,3387
0.0,0.0,Female,high school,single,5.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,39103.81,618.0,20.6,1.0,119.0,529.0,1.0,118.0,89.0,1.0,7.0,176449.0,163460.55,36,Central,Entrepreneur,1611
0.0,0.0,Female,,single,4.0,4.0,2.0,0.0,3.0,1.0,0.0,1.0,28.14,23.0,2.56,1.0,4.0,5.0,1.0,1.0,18.0,1.0,3.0,4946.95,5939.26,26,Northern,Entrepreneur,4002
0.0,0.0,Female,,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,3439.7,26.0,1.86,1.0,4.0,5.0,1.0,2.0,21.0,1.0,3.0,38238.0,35924.0,23,Eastern,Corporate Employee,1724
0.0,0.0,Female,others,others,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,126.88,20.0,1.43,1.0,3.0,5.0,1.0,1.0,15.0,1.0,3.0,3039.0,3233.43,28,Southern,Student,762
0.0,0.0,Male,vocational certificate,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,22460.04,15.0,1.5,1.0,5.0,3.0,1.0,1.0,12.0,1.0,5.0,22438.0,22106.41,31,Central,Student,3825
0.0,1.0,Male,master's degree,married,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Northern,Corporate Employee,3371
0.0,0.0,Male,,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Central,Corporate Employee,416
0.0,0.0,Male,high school,married,5.0,5.0,1.0,1.0,4.0,1.0,0.0,1.0,8329.84,43.0,2.87,1.0,6.0,10.0,1.0,2.0,33.0,1.0,5.0,34715.0,36706.35,46,Central,Freelancer,354
0.0,0.0,Female,,,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,930.82,98.0,4.08,1.0,12.0,29.0,1.0,4.0,69.0,1.0,8.0,15210.25,17281.01,23,Northeastern,Corporate Employee,3424
0.0,0.0,Female,,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Central,Student,3067
0.0,0.0,Male,,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,400.0,64.0,4.92,1.0,8.0,52.0,1.0,7.0,12.0,1.0,3.0,16550.0,16150.0,21,Central,Student,3927
