NO_OF_CHLD,EDU_DESC,MRRY_DESC,ADDR_PRVC,OCPN_DESC,NO_OF_CHLD_prev,EDU_DESC_prev,MRRY_DESC_prev,ADDR_PRVC_prev,OCPN_DESC_prev
0.0,bachelor's degree,single,ลพบุรี,service business entrepreneur,0.0,bachelor's degree,single,นนทบุรี,commerce employee
0.0,high school,single,กรุงเทพมหานคร,unemployed,0.0,high school,single,ชัยภูมิ,unemployed
2.0,bachelor's degree,divorce,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,divorce,กรุงเทพมหานคร,service business employee
0.0,vocational certificate/ diploma,single,ชลบุรี,unemployed,0.0,vocational certificate/ diploma,single,ชลบุรี,service business employee
0.0,high school,married,กรุงเทพมหานคร,commerce employee,0.0,high school,married,กรุงเทพมหานคร,commerce entrepreneur
0.0,bachelor's degree,single,กรุงเทพมหานคร,financial institution employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,unemployed
0.0,,single,นครศรีธรรมราช,commerce employee,0.0,,single,นครศรีธรรมราช,freelance
0.0,high school,married,สมุทรปราการ,commerce entrepreneur,0.0,high school,married,พระนครศรีอยุธยา,commerce entrepreneur
0.0,bachelor's degree,married,พระนครศรีอยุธยา,industrial business employee,0.0,bachelor's degree,married - registered,พระนครศรีอยุธยา,industrial business employee
0.0,high school,married,ชลบุรี,unemployed,0.0,high school,married,ชลบุรี,service business entrepreneur
0.0,others,single,สมุทรสงคราม,service business employee,0.0,others,single,สมุทรสงคราม,"student, university student"
0.0,bachelor's degree,married,กาญจนบุรี,service business entrepreneur,0.0,bachelor's degree,married,กาญจนบุรี,state enterprise employee
0.0,less than high school,married,กาญจนบุรี,housewife/househusband,0.0,less than high school,married,สุพรรณบุรี,"employee of company, store, office"
0.0,high school,married,สงขลา,industrial business employee,0.0,high school,married,สงขลา,freelance
0.0,others,married - registered,สุพรรณบุรี,commerce employee,0.0,others,married - registered,สุพรรณบุรี,service business employee
0.0,bachelor's degree,single,เชียงใหม่,freelance,0.0,bachelor's degree,single,เชียงใหม่,freelance
0.0,high school,single,ชลบุรี,industrial business employee,0.0,high school,married,ปทุมธานี,industrial business employee
0.0,bachelor's degree,single,สมุทรปราการ,service business employee,0.0,,,สมุทรปราการ,"student, university student"
1.0,master's degree,married,กรุงเทพมหานคร,unemployed,0.0,master's degree,married,กรุงเทพมหานคร,unemployed
0.0,vocational certificate/ diploma,single,นครราชสีมา,service business employee,0.0,vocational certificate/ diploma,single,นครราชสีมา,service business employee
0.0,high school,single,ชลบุรี,housewife/househusband,0.0,less than high school,single,ชลบุรี,housewife/househusband
0.0,less than high school,single,นครปฐม,service business employee,0.0,less than high school,single,พระนครศรีอยุธยา,service business employee
0.0,less than high school,married,ระยอง,unemployed,0.0,less than high school,single,กรุงเทพมหานคร,freelance
0.0,,single,ปทุมธานี,industrial business employee,0.0,,single,นครราชสีมา,commerce employee
0.0,bachelor's degree,others,น่าน,financial institution employee,0.0,bachelor's degree,others,กรุงเทพมหานคร,financial institution employee
0.0,bachelor's degree,single,ชุมพร,commerce entrepreneur,0.0,bachelor's degree,married - registered,ชุมพร,commerce entrepreneur
0.0,less than high school,married,ฉะเชิงเทรา,industrial business employee,0.0,less than high school,married,ฉะเชิงเทรา,service business entrepreneur
0.0,bachelor's degree,married,มหาสารคาม,commerce entrepreneur,0.0,bachelor's degree,married - registered,มหาสารคาม,commerce entrepreneur
0.0,bachelor's degree,married,พะเยา,government employee,0.0,bachelor's degree,single,พะเยา,government employee
0.0,high school,single,กระบี่,agricultural/ agro industry entrepreneur,0.0,high school,married,กระบี่,agricultural/ agro industry entrepreneur
0.0,high school,single,พระนครศรีอยุธยา,service business employee,0.0,high school,single,สมุทรปราการ,industrial business employee
1.0,bachelor's degree,married,นนทบุรี,soldier,0.0,bachelor's degree,married,นนทบุรี,soldier
0.0,less than high school,married,ระยอง,housewife/househusband,0.0,less than high school,separate,ระยอง,housewife/househusband
0.0,high school,single,ปทุมธานี,commerce entrepreneur,0.0,high school,single,กรุงเทพมหานคร,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,,single,กรุงเทพมหานคร,commerce employee
0.0,others,married,กรุงเทพมหานคร,industrial business employee,0.0,others,married - registered,กรุงเทพมหานคร,industrial business employee
1.0,bachelor's degree,single,สมุทรปราการ,industrial business employee,0.0,bachelor's degree,single,สมุทรปราการ,industrial business employee
0.0,bachelor's degree,married,นนทบุรี,commerce employee,0.0,bachelor's degree,married,นนทบุรี,housewife/househusband
0.0,less than high school,married,สระบุรี,freelance,0.0,less than high school,single,กาญจนบุรี,freelance
0.0,bachelor's degree,single,นครปฐม,commerce employee,0.0,bachelor's degree,single,สมุทรปราการ,commerce employee
0.0,master's degree,single,เพชรบุรี,government employee,0.0,master's degree,single,เพชรบุรี,teacher and executive in university or equivalent institution
0.0,others,single,สมุทรปราการ,service business employee,0.0,others,single,อุทัยธานี,soldier
0.0,less than high school,single,กรุงเทพมหานคร,commerce employee,0.0,less than high school,single,กรุงเทพมหานคร,others
0.0,others,single,กรุงเทพมหานคร,service business entrepreneur,0.0,others,single,กรุงเทพมหานคร,commerce employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce entrepreneur,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce entrepreneur
0.0,less than high school,single,สมุทรสาคร,service business employee,0.0,less than high school,married - registered,สมุทรสาคร,service business employee
0.0,high school,married,กรุงเทพมหานคร,service business employee,0.0,high school,married,กรุงเทพมหานคร,"employee of company, store, office"
2.0,bachelor's degree,married,ชลบุรี,unemployed,2.0,bachelor's degree,married,ชลบุรี,commerce entrepreneur
0.0,bachelor's degree,married,สุราษฎร์ธานี,industrial business employee,0.0,bachelor's degree,married,สุราษฎร์ธานี,commerce employee
0.0,,single,สงขลา,freelance,0.0,,single,กรุงเทพมหานคร,service business employee
0.0,others,single,ตราด,service business employee,0.0,others,married - registered,ตราด,service business employee
0.0,,single,ปทุมธานี,freelance,0.0,,single,กรุงเทพมหานคร,service business employee
1.0,vocational certificate,single,กรุงเทพมหานคร,commerce employee,0.0,vocational certificate,married - registered,กรุงเทพมหานคร,commerce employee
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,single,ตรัง,"student, university student"
0.0,high school,single,ชลบุรี,"student, university student",0.0,high school,single,ชลบุรี,"student, university student"
1.0,bachelor's degree,married,ปทุมธานี,industrial business employee,0.0,bachelor's degree,married,ปทุมธานี,industrial business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,freelance
0.0,,single,ชลบุรี,service business employee,0.0,,single,ชลบุรี,industrial business employee
0.0,high school,single,กรุงเทพมหานคร,freelance,0.0,high school,single,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"student, university student"
0.0,others,single,ฉะเชิงเทรา,industrial business employee,0.0,others,single,กรุงเทพมหานคร,"student, university student"
0.0,others,single,เพชรบูรณ์,agricultural/ agro industry entrepreneur,0.0,others,single,เพชรบูรณ์,industrial business employee
0.0,,single,ภูเก็ต,service business employee,0.0,,single,ภูเก็ต,"student, university student"
0.0,bachelor's degree,married - registered,เชียงใหม่,government employee,0.0,bachelor's degree,married - registered,เชียงใหม่,government employee
0.0,bachelor's degree,single,นนทบุรี,commercial bank employee,0.0,bachelor's degree,single,พัทลุง,freelance
0.0,master's degree,married - registered,ร้อยเอ็ด,service business employee,0.0,high school,single,ร้อยเอ็ด,"student, university student"
0.0,high school,single,นนทบุรี,freelance,0.0,high school,single,นครปฐม,freelance
0.0,bachelor's degree,married,นนทบุรี,commerce employee,0.0,bachelor's degree,married - registered,นนทบุรี,commerce employee
0.0,bachelor's degree,single,ปัตตานี,agricultural/ agro industry entrepreneur,0.0,bachelor's degree,single,ปัตตานี,commerce employee
0.0,others,single,กรุงเทพมหานคร,industrial business employee,0.0,others,single,อุบลราชธานี,"student, university student"
0.0,less than high school,married,มหาสารคาม,service business employee,0.0,less than high school,single,สมุทรปราการ,freelance
0.0,others,single,กรุงเทพมหานคร,commerce entrepreneur,0.0,others,single,กรุงเทพมหานคร,commerce employee
0.0,high school,married,ชลบุรี,commerce employee,0.0,high school,married,หนองคาย,commerce employee
0.0,,single,ขอนแก่น,medical technologist,0.0,,single,ขอนแก่น,"student, university student"
1.0,others,married - registered,สมุทรสาคร,commerce entrepreneur,1.0,less than high school,single,สมุทรสาคร,commerce entrepreneur
0.0,others,married - registered,กรุงเทพมหานคร,service business employee,0.0,others,married - registered,กรุงเทพมหานคร,industrial business employee
0.0,less than high school,single,บุรีรัมย์,freelance,0.0,less than high school,single,บุรีรัมย์,"employee of company, store, office"
0.0,,single,ชลบุรี,industrial business employee,0.0,,,ชลบุรี,"student, university student"
0.0,high school,single,ฉะเชิงเทรา,freelance,0.0,high school,single,กรุงเทพมหานคร,commerce employee
0.0,,married,นราธิวาส,commerce entrepreneur,0.0,,single,นราธิวาส,"student, university student"
0.0,others,single,เชียงใหม่,freelance,0.0,others,single,เชียงใหม่,"student, university student"
0.0,others,married - registered,ปทุมธานี,service business employee,0.0,others,married,ปทุมธานี,industrial business employee
0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,service business employee,0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,freelance
0.0,less than high school,married,ชลบุรี,service business employee,0.0,less than high school,married,สุรินทร์,service business employee
1.0,high school,married - registered,สุราษฎร์ธานี,industrial business employee,0.0,high school,married - registered,สุราษฎร์ธานี,industrial business employee
0.0,bachelor's degree,single,กาญจนบุรี,service business employee,0.0,high school,single,กาญจนบุรี,service business employee
0.0,high school,single,สมุทรสาคร,freelance,0.0,high school,single,สมุทรสาคร,industrial business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,master's degree,single,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,single,สมุทรปราการ,industrial business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"student, university student"
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,,นราธิวาส,"student, university student"
0.0,master's degree,married - registered,สมุทรสาคร,industrial business employee,0.0,vocational certificate/ diploma,married,สมุทรสาคร,"employee of company, store, office"
0.0,bachelor's degree,married - registered,เลย,commerce entrepreneur,0.0,others,single,เลย,commerce entrepreneur
0.0,bachelor's degree,married,กรุงเทพมหานคร,agricultural/ agro industry entrepreneur,0.0,bachelor's degree,single,กรุงเทพมหานคร,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,industrial business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,state enterprise employee
0.0,others,married - registered,น่าน,service business employee,0.0,bachelor's degree,single,น่าน,service business employee
0.0,less than high school,married,ฉะเชิงเทรา,industrial business employee,0.0,less than high school,married,สมุทรปราการ,industrial business employee
0.0,high school,married,เชียงราย,commerce entrepreneur,0.0,high school,single,กรุงเทพมหานคร,"employee of company, store, office"
0.0,high school,single,ศรีสะเกษ,service business entrepreneur,0.0,high school,single,พระนครศรีอยุธยา,industrial business employee
0.0,bachelor's degree,married - registered,นครศรีธรรมราช,commerce entrepreneur,1.0,bachelor's degree,married,นครศรีธรรมราช,commerce entrepreneur
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,single,สมุทรสาคร,service business employee
0.0,bachelor's degree,married,กรุงเทพมหานคร,freelance,0.0,bachelor's degree,single,กรุงเทพมหานคร,freelance
0.0,less than high school,married,นครศรีธรรมราช,housewife/househusband,0.0,less than high school,married,นครศรีธรรมราช,freelance
0.0,bachelor's degree,married,กรุงเทพมหานคร,unemployed,0.0,bachelor's degree,married,กรุงเทพมหานคร,teacher and executive in university or equivalent institution
0.0,bachelor's degree,single,ระยอง,service business employee,0.0,less than high school,single,ศรีสะเกษ,freelance
0.0,vocational certificate/ diploma,single,นครพนม,service business employee,0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,service business employee
0.0,high school,married,ขอนแก่น,agricultural/ agro industry entrepreneur,0.0,high school,divorce,ขอนแก่น,housewife/househusband
1.0,high school,single,พระนครศรีอยุธยา,service business employee,1.0,high school,married,นครราชสีมา,freelance
0.0,less than high school,single,หนองบัวลำภู,housewife/househusband,0.0,less than high school,single,หนองบัวลำภู,freelance
0.0,others,single,สุราษฎร์ธานี,housewife/househusband,0.0,others,single,กรุงเทพมหานคร,others
0.0,others,single,กรุงเทพมหานคร,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,others,others,จันทบุรี,"student, university student"
0.0,vocational certificate/ diploma,single,สมุทรปราการ,industrial business employee,0.0,vocational certificate/ diploma,single,สมุทรปราการ,service business employee
0.0,others,single,ศรีสะเกษ,police officer,0.0,others,others,ศรีสะเกษ,"student, university student"
1.0,bachelor's degree,widow,สมุทรปราการ,industrial business employee,0.0,bachelor's degree,widow,สมุทรปราการ,industrial business employee
1.0,bachelor's degree,married - registered,ประจวบคีรีขันธ์,commerce entrepreneur,0.0,bachelor's degree,married,ประจวบคีรีขันธ์,commerce entrepreneur
0.0,high school,single,นนทบุรี,government employee,0.0,high school,single,นนทบุรี,state enterprise employee
0.0,bachelor's degree,married - registered,สตูล,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,bachelor's degree,single,สตูล,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,bachelor's degree,single,สมุทรปราการ,unemployed,0.0,bachelor's degree,single,กรุงเทพมหานคร,unemployed
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,ภูเก็ต,commerce employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce entrepreneur,0.0,bachelor's degree,single,กรุงเทพมหานคร,"employee of company, store, office"
0.0,less than high school,divorce,ลำปาง,housewife/househusband,1.0,less than high school,divorce,ลำปาง,housewife/househusband
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,others,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,single,สุพรรณบุรี,service business entrepreneur,0.0,bachelor's degree,single,ชลบุรี,service business entrepreneur
0.0,others,single,ประจวบคีรีขันธ์,police officer,0.0,others,others,สตูล,"student, university student"
0.0,bachelor's degree,single,นครสวรรค์,service business employee,0.0,bachelor's degree,single,นครสวรรค์,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,bachelor's degree,married - non registered,สมุทรปราการ,commerce employee,0.0,bachelor's degree,single,สมุทรปราการ,service business employee
0.0,bachelor's degree,married - registered,พะเยา,industrial business employee,0.0,bachelor's degree,married,พะเยา,industrial business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
0.0,doctorate's degree,single,กรุงเทพมหานคร,industrial business employee,0.0,doctorate's degree,single,กรุงเทพมหานคร,teacher and executive in university or equivalent institution
1.0,high school,single,กรุงเทพมหานคร,commerce entrepreneur,1.0,high school,married - registered,กรุงเทพมหานคร,commerce entrepreneur
0.0,less than high school,single,กรุงเทพมหานคร,service business employee,0.0,less than high school,single,กรุงเทพมหานคร,unemployed
0.0,high school,single,พระนครศรีอยุธยา,commerce employee,0.0,high school,single,พระนครศรีอยุธยา,commerce employee
0.0,less than high school,married,ปทุมธานี,industrial business employee,0.0,less than high school,single,ปทุมธานี,industrial business employee
0.0,less than high school,single,กรุงเทพมหานคร,commerce employee,0.0,less than high school,single,แพร่,"student, university student"
0.0,less than high school,single,ภูเก็ต,commerce entrepreneur,0.0,less than high school,single,กาญจนบุรี,industrial business employee
1.0,less than high school,married,นครปฐม,industrial business employee,0.0,less than high school,married,นครปฐม,industrial business employee
0.0,,single,พระนครศรีอยุธยา,industrial business employee,0.0,,,พระนครศรีอยุธยา,"student, university student"
0.0,,married,กรุงเทพมหานคร,government employee,0.0,,,กรุงเทพมหานคร,"employee of company, store, office"
0.0,high school,single,ชลบุรี,industrial business employee,0.0,high school,single,กรุงเทพมหานคร,commerce employee
0.0,high school,single,ยะลา,freelance,0.0,high school,single,ยะลา,industrial business employee
0.0,,single,เพชรบูรณ์,service business employee,0.0,,,กำแพงเพชร,service business employee
0.0,less than high school,married,กรุงเทพมหานคร,unemployed,0.0,less than high school,married,กรุงเทพมหานคร,entrepreneur/ owner/ company director/ partner
0.0,,single,พระนครศรีอยุธยา,agricultural/ agro industry entrepreneur,0.0,,single,กรุงเทพมหานคร,agricultural/ agro industry entrepreneur
0.0,bachelor's degree,single,กำแพงเพชร,commerce employee,0.0,bachelor's degree,single,กำแพงเพชร,"employee of company, store, office"
0.0,bachelor's degree,single,ฉะเชิงเทรา,teacher and executive in university or equivalent institution,0.0,bachelor's degree,single,ฉะเชิงเทรา,"student, university student"
0.0,bachelor's degree,married,นครราชสีมา,agricultural/ agro industry entrepreneur,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,industrial business employee
0.0,less than high school,single,อุบลราชธานี,industrial business employee,0.0,less than high school,single,สมุทรปราการ,industrial business employee
0.0,high school,single,ปทุมธานี,industrial business employee,0.0,high school,single,ปทุมธานี,industrial business employee
0.0,bachelor's degree,single,ชลบุรี,freelance,0.0,bachelor's degree,single,ปราจีนบุรี,freelance
0.0,high school,married,ขอนแก่น,industrial business employee,0.0,high school,married,ขอนแก่น,commerce employee
2.0,others,married,สุรินทร์,state enterprise employee,2.0,others,married - registered,สุรินทร์,state enterprise employee
0.0,high school,single,สุราษฎร์ธานี,commerce entrepreneur,0.0,high school,single,กรุงเทพมหานคร,freelance
0.0,others,married - registered,สมุทรปราการ,service business employee,0.0,vocational certificate,married,สมุทรปราการ,service business employee
0.0,less than high school,single,สุราษฎร์ธานี,service business employee,0.0,less than high school,single,สุราษฎร์ธานี,"student, university student"
0.0,,single,ระยอง,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,,single,ระยอง,government employee
0.0,others,single,ชลบุรี,"student, university student",0.0,others,single,จันทบุรี,"student, university student"
0.0,bachelor's degree,married,กรุงเทพมหานคร,government employee,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,government employee
0.0,high school,married - registered,ภูเก็ต,industrial business employee,0.0,bachelor's degree,single,ภูเก็ต,industrial business employee
2.0,bachelor's degree,married - registered,นครสวรรค์,service business employee,2.0,master's degree,single,นครสวรรค์,state enterprise employee
0.0,vocational certificate,married,พิษณุโลก,commerce entrepreneur,0.0,vocational certificate,married,พิษณุโลก,commerce entrepreneur
1.0,master's degree,single,ชลบุรี,government employee,0.0,master's degree,single,ชลบุรี,government employee
0.0,,single,ขอนแก่น,freelance,0.0,,single,ขอนแก่น,industrial business employee
0.0,others,single,เชียงราย,"student, university student",0.0,others,single,เชียงราย,"student, university student"
0.0,bachelor's degree,single,ตรัง,service business entrepreneur,0.0,bachelor's degree,single,สงขลา,agricultural/ agro industry entrepreneur
0.0,less than high school,single,พระนครศรีอยุธยา,unemployed,0.0,less than high school,single,ลำพูน,industrial business employee
0.0,vocational certificate,single,อุบลราชธานี,freelance,0.0,vocational certificate,single,ขอนแก่น,commerce employee
0.0,less than high school,single,นครปฐม,service business employee,0.0,less than high school,single,นครปฐม,service business employee
0.0,high school,single,ภูเก็ต,service business employee,0.0,high school,single,ระนอง,commerce entrepreneur
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
0.0,less than high school,single,ปทุมธานี,agricultural/ agro industry entrepreneur,0.0,less than high school,single,ปทุมธานี,freelance
0.0,others,single,นครราชสีมา,commerce employee,0.0,others,single,นครราชสีมา,commerce employee
0.0,,married,สมุทรปราการ,agricultural/ agro industry entrepreneur,0.0,,married,สมุทรปราการ,commerce entrepreneur
0.0,high school,single,กรุงเทพมหานคร,freelance,0.0,high school,single,ชลบุรี,commerce entrepreneur
0.0,high school,married,นครศรีธรรมราช,commerce entrepreneur,0.0,high school,married - registered,นครศรีธรรมราช,commerce entrepreneur
0.0,,single,ปทุมธานี,commerce employee,0.0,,single,นครพนม,freelance
0.0,others,married,สตูล,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,others,single,สตูล,"student, university student"
0.0,bachelor's degree,single,ตรัง,freelance,0.0,bachelor's degree,single,ตรัง,state enterprise employee
0.0,bachelor's degree,single,เชียงใหม่,housewife/househusband,0.0,bachelor's degree,single,เชียงใหม่,industrial business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"employee of company, store, office"
0.0,less than high school,single,ชุมพร,agricultural/ agro industry entrepreneur,0.0,less than high school,married,ชุมพร,agricultural/ agro industry entrepreneur
0.0,others,single,กรุงเทพมหานคร,industrial entrepreneur,0.0,others,married - registered,กรุงเทพมหานคร,industrial entrepreneur
0.0,others,married - registered,ชลบุรี,service business employee,0.0,others,others,สระแก้ว,service business employee
0.0,others,single,เชียงใหม่,service business employee,0.0,others,others,เชียงใหม่,service business employee
0.0,others,others,กรุงเทพมหานคร,"student, university student",0.0,others,others,สมุทรสาคร,"student, university student"
0.0,bachelor's degree,married,กรุงเทพมหานคร,commerce entrepreneur,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce entrepreneur
0.0,others,married,สมุทรสาคร,industrial business employee,0.0,high school,single,สมุทรสาคร,"employee of company, store, office"
0.0,less than high school,single,พระนครศรีอยุธยา,industrial business employee,0.0,less than high school,single,พระนครศรีอยุธยา,"student, university student"
0.0,high school,single,กรุงเทพมหานคร,service business employee,0.0,master's degree,single,กรุงเทพมหานคร,service business employee
0.0,less than high school,single,กรุงเทพมหานคร,service business employee,0.0,less than high school,single,กรุงเทพมหานคร,freelance
0.0,master's degree,single,ปทุมธานี,service business employee,0.0,master's degree,single,ปทุมธานี,service business employee
1.0,high school,married,กรุงเทพมหานคร,industrial entrepreneur,0.0,high school,married - registered,กรุงเทพมหานคร,industrial entrepreneur
0.0,,single,สกลนคร,commerce entrepreneur,0.0,,single,ปทุมธานี,service business employee
0.0,bachelor's degree,married - registered,สมุทรสาคร,industrial entrepreneur,0.0,high school,married,สมุทรสาคร,unemployed
0.0,high school,single,สระแก้ว,state enterprise employee,0.0,high school,single,สระแก้ว,state enterprise employee
0.0,high school,single,สมุทรปราการ,industrial business employee,0.0,high school,married - registered,สมุทรปราการ,industrial business employee
0.0,others,single,กรุงเทพมหานคร,commerce employee,0.0,others,single,กรุงเทพมหานคร,commerce employee
0.0,vocational certificate/ diploma,single,พระนครศรีอยุธยา,industrial business employee,0.0,vocational certificate/ diploma,single,พระนครศรีอยุธยา,industrial business employee
1.0,less than high school,married,ปทุมธานี,freelance,1.0,less than high school,married,ปทุมธานี,freelance
0.0,less than high school,single,สมุทรปราการ,freelance,0.0,less than high school,single,สมุทรปราการ,industrial business employee
0.0,vocational certificate/ diploma,married,เชียงใหม่,unemployed,2.0,vocational certificate/ diploma,married,เชียงใหม่,entrepreneur/ owner/ company director/ partner
0.0,high school,single,ยโสธร,commerce employee,0.0,high school,single,ยโสธร,"student, university student"
0.0,bachelor's degree,married - registered,สงขลา,nurse,0.0,bachelor's degree,single,สงขลา,nurse
0.0,less than high school,single,จันทบุรี,unemployed,0.0,less than high school,single,จันทบุรี,employee/ group in non-profit organization
0.0,bachelor's degree,single,ปทุมธานี,service business entrepreneur,0.0,bachelor's degree,single,ปทุมธานี,"student, university student"
0.0,bachelor's degree,married - non registered,ปทุมธานี,commerce employee,0.0,,,นนทบุรี,commerce employee
1.0,bachelor's degree,married,สมุทรปราการ,government employee,1.0,bachelor's degree,married,อุบลราชธานี,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,high school,single,ลพบุรี,industrial business employee,0.0,high school,married - registered,ลพบุรี,industrial business employee
0.0,bachelor's degree,single,สุราษฎร์ธานี,commerce entrepreneur,0.0,bachelor's degree,divorce,สุราษฎร์ธานี,commerce entrepreneur
1.0,less than high school,single,กรุงเทพมหานคร,service business entrepreneur,0.0,less than high school,married - registered,กรุงเทพมหานคร,service business entrepreneur
0.0,,single,กรุงเทพมหานคร,commerce employee,0.0,,single,กรุงเทพมหานคร,industrial business employee
0.0,bachelor's degree,married - registered,ชลบุรี,industrial business employee,0.0,vocational certificate/ diploma,married - registered,ชลบุรี,service business employee
0.0,high school,single,กรุงเทพมหานคร,commerce employee,0.0,high school,single,กรุงเทพมหานคร,freelance
0.0,bachelor's degree,single,พิษณุโลก,service business employee,0.0,bachelor's degree,married - registered,พิษณุโลก,service business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,industrial business employee,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,industrial business employee
0.0,high school,single,สุโขทัย,housewife/househusband,0.0,high school,single,กรุงเทพมหานคร,freelance
0.0,high school,married,นครสวรรค์,service business employee,0.0,high school,married,ปทุมธานี,freelance
0.0,high school,married,ปราจีนบุรี,industrial business employee,0.0,high school,married,นครราชสีมา,service business employee
0.0,high school,single,สงขลา,commerce employee,0.0,high school,single,สงขลา,"student, university student"
0.0,others,single,เชียงใหม่,financial institution employee,0.0,bachelor's degree,married - registered,เชียงใหม่,financial institution employee
0.0,,single,กรุงเทพมหานคร,service business entrepreneur,0.0,,single,กรุงเทพมหานคร,service business employee
0.0,others,single,สมุทรปราการ,soldier,0.0,others,others,กรุงเทพมหานคร,"student, university student"
0.0,others,single,กรุงเทพมหานคร,service business employee,0.0,others,single,ปทุมธานี,service business employee
1.0,bachelor's degree,married,ชลบุรี,industrial business employee,0.0,bachelor's degree,married,ชลบุรี,industrial business employee
0.0,vocational certificate,married - registered,ชลบุรี,industrial business employee,0.0,vocational certificate,single,ชลบุรี,industrial business employee
0.0,bachelor's degree,single,สมุทรปราการ,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
