Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,Demog Summary
0.0,0.0,Male,bachelor's degree,single,5.0,4.0,4.0,0.0,4.0,1.0,0.0,3.0,148301.12,50.0,2.17,1.0,6.0,27.0,1.0,4.0,23.0,1.0,2.0,129561.59,215443.99,44,Central,Entrepreneur,963,"This customer represents a mid-career male entrepreneur based in the Central region, equipped with a bachelor's degree that likely supports his professional ventures. As a single individual without children, he may have greater flexibility in allocating time and resources toward business growth, personal development, or leisure pursuits."
0.0,Unknown,Female,master's degree,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,63,Central,Entrepreneur,946,"This customer represents an experienced, accomplished female entrepreneur based in the Central region. With a master’s degree, she brings a strong educational foundation to her professional endeavors. At 63 years old, she is in a mature life stage, balancing the demands of her career with the stability of a long-term marriage. While she does not have children, her focus likely centers on personal growth, business ventures, and community engagement."
0.0,0.0,Female,high school,married - registered,3.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,40.23,65.0,2.6,1.0,8.0,23.0,1.0,3.0,42.0,1.0,8.0,7270.0,26275.0,36,Central,Corporate Employee,2477,"This individual is a mid-career female corporate professional residing in the Central region. With a high school education as her academic foundation, she has established a stable life alongside her spouse, to whom she is married under a registered union. At 36 years old, she is navigating her career and personal aspirations without the responsibilities of raising children, allowing her to focus on her professional growth and other pursuits."
0.0,0.0,Female,bachelor's degree,single,7.0,7.0,1.0,1.0,5.0,1.0,0.0,1.0,24158.51,85.0,3.4,1.0,10.0,13.0,1.0,3.0,72.0,1.0,10.0,46952.0,74727.99,55,Central,Corporate Employee,3775,"This individual embodies a seasoned professional life stage, a 55-year-old female corporate employee residing in the Central region. With a bachelor's degree shaping her career trajectory, she brings a well-rounded educational foundation to her professional endeavors. As a single individual without children, her focus likely leans toward personal growth, career advancement, and other independent pursuits."
0.0,Unknown,Female,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,37,Central,Student,2237,"This individual is a 37-year-old woman navigating life as a student in the Central region. With an educational background categorized as ""others,"" she brings a unique perspective to her studies. Her marital status, also classified as ""others,"" and her decision to remain without children suggest a focus on personal growth and academic pursuits at this stage of her life."
0.0,0.0,Female,bachelor's degree,married,3.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,10.0,1.25,1.0,2.0,4.0,1.0,1.0,6.0,1.0,1.0,6615.0,7415.55,34,Central,Corporate Employee,2293,"This individual is a mid-career female corporate professional residing in the Central region. With a bachelor's degree shaping her career trajectory, she navigates her professional life alongside the stability of marriage. Currently without children, her focus appears to center on personal and professional growth, reflecting a lifestyle that balances ambition and partnership."
0.0,0.0,Female,bachelor's degree,married,5.0,5.0,1.0,1.0,4.0,0.0,0.0,1.0,26702.1,86.0,3.19,1.0,9.0,20.0,1.0,3.0,66.0,1.0,7.0,213772.1,215378.26,41,Central,Corporate Employee,368,"This customer represents an established, career-focused woman working as a corporate employee in the Central region. With a bachelor's degree shaping her professional expertise, she is well-positioned in her field. As a married individual without children, her lifestyle likely emphasizes personal and professional growth, allowing her to focus on career advancement and shared experiences with her partner."
0.0,Unknown,Male,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24,Central,Student,3280,"This individual is a young adult male pursuing academic or vocational endeavors as a student, residing in the Central region. With an educational background categorized as ""others,"" his current focus likely leans toward personal or professional development rather than traditional career pathways. Unmarried and without children, he represents a life stage marked by exploration and growth, unencumbered by familial responsibilities."
0.0,Unknown,Female,Unknown,single,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,643.63,167.0,5.96,1.0,14.0,51.0,1.0,5.0,116.0,1.0,10.0,25132.0,26893.0,22,Southern,Student,1376,"This individual is a young adult female navigating her early career as a student in the Southern region. With her education background unspecified, she is likely focused on academic or personal growth at this stage. Currently single and without children, her lifestyle reflects the independence and exploration typical of her age group."
0.0,Unknown,Female,Unknown,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,200.44,64.0,3.37,1.0,8.0,2.0,1.0,1.0,62.0,1.0,8.0,775.0,34962.25,21,Central,Student,2185,"This individual is a young adult female pursuing her studies, residing in the Central region. With her education status currently unspecified, she is single and focused on her academic journey. As a student with no children, her lifestyle reflects the early stages of independence and personal growth, characteristic of someone building a foundation for future opportunities."
0.0,0.0,Male,vocational certificate/ diploma,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,47,Eastern,Corporate Employee,773,"This individual embodies a mid-career male corporate professional residing in the Eastern region. With a vocational certificate or diploma shaping his educational background, he brings practical expertise to his field. As a single person without children, his lifestyle likely reflects a focus on personal and professional growth, unencumbered by familial responsibilities."
0.0,0.0,Male,vocational certificate/ diploma,single,4.0,4.0,2.0,0.0,5.0,0.0,0.0,2.0,502.43,205.0,7.32,1.0,27.0,84.0,1.0,11.0,121.0,1.0,16.0,60741.0,60404.0,40,Central,Corporate Employee,4121,"This customer is a mid-career male corporate professional residing in the central region, whose vocational diploma has equipped him with practical expertise for his field. As a single individual without children, his lifestyle likely emphasizes personal growth, career advancement, and leisure pursuits. His demographic profile suggests a focus on structured work-life balance and opportunities for professional development, reflecting the priorities of someone navigating the prime years of their career in a dynamic urban environment."
0.0,0.0,Male,high school,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,110.48,44.0,1.83,1.0,4.0,17.0,1.0,2.0,27.0,1.0,2.0,4139.87,4969.68,26,Central,Student,499,"This individual represents a young adult male pursuing studies in the Central region, navigating life as a single person with no children. With a high school education as his foundation, he is likely focused on academic or early career development, reflecting the aspirations and challenges typical of his age group and student status."
2.0,0.0,Female,high school,separate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,50,Central,Freelancer,4327,"This customer represents a midlife female freelancer residing in the Central region, whose high school education has shaped her adaptable approach to work. Currently separated, she balances her professional commitments with the responsibilities of raising two children, reflecting a dynamic family-oriented lifestyle."
0.0,0.0,Female,bachelor's degree,single,6.0,6.0,1.0,0.0,6.0,1.0,1.0,1.0,7363.02,69.0,2.76,1.0,7.0,22.0,1.0,4.0,47.0,1.0,7.0,55826.0,49611.0,33,Southern,Entrepreneur,436,"This individual embodies a driven and ambitious 33-year-old woman navigating the entrepreneurial world from the Southern region. With a bachelor's degree providing a strong educational foundation, she channels her skills and creativity into building her career. Currently single and without children, she enjoys the flexibility to focus on her professional aspirations and personal growth. Her profile reflects a dynamic stage of life, marked by independence and a forward-thinking mindset."
0.0,Unknown,Male,high school,widow,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,4701.42,369.0,11.9,4.0,28.0,123.0,1.0,10.0,246.0,2.0,18.0,522301.32,517602.4,43,Western,Corporate Employee,1252,"This individual is a middle-aged male corporate professional residing in the Western region. With a high school education as his academic foundation, he has built a career in the corporate sector. Currently widowed and without children, his lifestyle reflects a focus on personal and professional pursuits, navigating life independently while balancing the demands of his occupation."
0.0,0.0,Female,bachelor's degree,single,7.0,6.0,3.0,2.0,2.0,0.0,0.0,1.0,27041.0,20.0,1.54,1.0,4.0,5.0,1.0,2.0,15.0,1.0,2.0,5354.0,8484.9,40,Central,Corporate Employee,2322,"This individual embodies a mid-career professional female working in the corporate sector, residing in the Central region. With a bachelor's degree shaping her career trajectory, she brings a well-rounded educational background to her professional endeavors. As a single woman with no children, her lifestyle reflects a focus on personal and career development, allowing her to navigate opportunities with flexibility and independence."
0.0,0.0,Male,less than high school,single,5.0,5.0,1.0,0.0,5.0,0.0,0.0,1.0,5897.93,31.0,1.82,1.0,6.0,5.0,1.0,2.0,26.0,1.0,5.0,22349.8,23547.0,38,Central,Corporate Employee,277,"This individual is a 38-year-old single man working in the corporate sector and residing in the Central region. With an education level below high school, he may prioritize practical skills and on-the-job experience over formal academic qualifications. As someone without children, his lifestyle likely revolves around personal and professional growth, with fewer familial obligations shaping his daily routine."
0.0,Unknown,Female,others,married - registered,5.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,87.68,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,10528.0,10500.0,51,Northeastern,Corporate Employee,408,"This individual is a seasoned, middle-aged woman working as a corporate employee in the Northeastern region. With an educational background categorized as ""others,"" she brings a unique perspective to her professional life. Married and in a registered partnership, she shares her life with a spouse but does not have children, allowing her to focus on career and personal pursuits."
0.0,1.0,Female,master's degree,married - non registered,7.0,6.0,5.0,2.0,1.0,0.0,0.0,2.0,2054286.86,16.0,1.78,1.0,3.0,3.0,1.0,1.0,13.0,1.0,3.0,7688.32,166730.65,64,Central,Corporate Employee,3416,"This individual embodies a seasoned, professional woman in her mid-sixties, working as a corporate employee in the Central region. With a master’s degree, she brings a wealth of knowledge and expertise to her career. Married in a non-registered partnership, she shares her life with a partner but does not have children, allowing her to focus on personal and professional pursuits."
0.0,0.0,Male,vocational certificate/ diploma,single,4.0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,5048.73,50.0,2.78,1.0,13.0,15.0,1.0,3.0,35.0,1.0,12.0,14490.0,9442.14,28,Central,Student,1645,"This individual is a young adult male pursuing academic and professional growth as a student in the Central region. With a vocational certificate or diploma shaping his skillset, he is focused on building a foundation for his future career. Currently single and without children, he is navigating life independently, likely prioritizing personal development and educational opportunities."
0.0,1.0,Male,bachelor's degree,married - registered,9.0,8.0,7.0,3.0,5.0,0.0,0.0,3.0,4097.89,120.0,4.14,1.0,12.0,11.0,1.0,2.0,109.0,1.0,10.0,1249657.47,1331239.32,45,Central,Entrepreneur,2175,"This individual embodies a mid-career male entrepreneur residing in the Central region. With a bachelor's degree shaping his professional foundation, he navigates the demands of running a business while enjoying the stability of a registered marriage. At 45 years old, he is in a life stage often marked by career growth and personal fulfillment, though his household remains child-free, allowing for a focus on professional and personal pursuits."
0.0,Unknown,Female,others,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,33581.36,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1056.0,24,Northeastern,Student,87,"This customer represents a young, single woman pursuing her studies in the Northeastern region. With an educational background categorized as ""others,"" she may be exploring diverse or non-traditional learning paths. As a student, her current focus is likely on academic or personal development rather than career advancement. Being unmarried and without children, her lifestyle is likely flexible and centered around individual growth and exploration."
0.0,2.0,Female,master's degree,married,9.0,5.0,15.0,1.0,1.0,1.0,0.0,5.0,16715787.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,Central,Homemaker,3608,"This customer represents a senior female homemaker residing in the Central region, who has achieved a master's degree, reflecting a strong academic foundation. As a married individual with no children, she likely enjoys a quieter household and may focus on personal interests, community engagement, or intellectual pursuits."
0.0,1.0,Female,doctorate's degree,single,5.0,5.0,3.0,2.0,4.0,1.0,0.0,1.0,118742.73,27.0,1.8,1.0,5.0,2.0,1.0,1.0,25.0,1.0,5.0,1738517.41,1713268.21,54,Central,Professional,856,"This customer embodies a seasoned professional woman in her mid-50s, residing in the Central region. With a doctorate's degree, she brings a wealth of expertise and intellectual depth to her field. Unmarried and without children, she likely enjoys a lifestyle focused on personal growth and career achievements, reflecting her independent and driven nature."
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,32.92,214.0,10.7,1.0,45.0,85.0,1.0,20.0,129.0,1.0,25.0,136294.0,135062.24,42,Southern,Corporate Employee,2116,"This customer represents a mid-career professional male working in the corporate sector, residing in the Southern region. With a bachelor's degree shaping his career trajectory, he brings a well-rounded educational background to his professional endeavors. As a single individual with no children, his lifestyle reflects a focus on personal and career development, with fewer immediate family obligations influencing his financial and leisure decisions."
0.0,Unknown,Female,others,single,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.58,17.0,1.42,1.0,3.0,3.0,1.0,1.0,14.0,1.0,3.0,1200.0,7189.0,26,Northeastern,Student,3405,"This individual is a young adult female pursuing her studies in the Northeastern region, reflecting a transitional stage of life focused on personal and academic growth. With an educational background categorized as ""others,"" she may be exploring diverse learning paths or specialized fields. Currently single and without children, her lifestyle likely emphasizes flexibility and independence, aligning with the dynamic nature of student life."
0.0,Unknown,Female,vocational certificate,married - registered,4.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,5870.48,42.0,2.0,1.0,5.0,9.0,1.0,2.0,33.0,1.0,5.0,301000.0,382005.8,35,Central,Entrepreneur,3860,"This customer represents a mid-career female entrepreneur residing in the Central region, whose vocational certification supports her hands-on approach to business. As a married individual without children, she is likely focused on personal and professional growth, balancing her commitments with the flexibility her entrepreneurial role provides."
0.0,Unknown,Male,Unknown,Unknown,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.87,34.0,3.78,1.0,10.0,14.0,1.0,4.0,20.0,1.0,6.0,2643.0,2642.34,32,Southern,Homemaker,2782,"This individual reflects a mid-30s male navigating life as a homemaker in the Southern region. While his educational background remains unspecified, his current focus appears to center on household management rather than traditional employment. With no children in his care and marital status undisclosed, his lifestyle may prioritize personal interests, community engagement, or domestic responsibilities."
0.0,0.0,Female,bachelor's degree,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,800.01,9.0,2.25,2.0,3.0,5.0,1.0,2.0,4.0,1.0,1.0,2300.0,1501.43,30,Southern,Corporate Employee,4328,"This individual reflects a young professional female navigating the corporate world in the Southern region. With a bachelor's degree shaping her career trajectory, she is focused on personal and professional growth. Currently single and without children, her lifestyle is likely centered on career advancement and exploring opportunities for self-development."
0.0,0.0,Female,high school,married,4.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,12.37,292.0,11.68,2.0,27.0,106.0,1.0,11.0,186.0,2.0,16.0,37953.0,38161.0,55,Northern,Freelancer,4105,"This individual is a seasoned, middle-aged woman working as a freelancer, residing in the Northern region. With a high school education as her academic foundation, she balances her professional independence with the stability of being married. While she and her spouse do not have children, her life reflects a focus on personal and career growth during this stage."
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,4911.69,75.0,3.13,1.0,8.0,16.0,1.0,4.0,59.0,1.0,7.0,19273.0,14447.0,30,Central,Entrepreneur,3537,"This individual reflects a young, ambitious male entrepreneur residing in the Central region. With a bachelor's degree shaping his professional foundation, he is focused on building his career and navigating the opportunities of self-employment. Currently single and without children, his lifestyle is likely centered around personal growth and professional aspirations, characteristic of someone in a dynamic and independent phase of life."
0.0,1.0,Male,bachelor's degree,married - registered,7.0,7.0,2.0,2.0,4.0,1.0,0.0,1.0,9.94,96.0,3.43,1.0,7.0,37.0,1.0,3.0,59.0,1.0,5.0,108100.0,115249.67,47,Eastern,Entrepreneur,1034,"This individual reflects a mid-life male entrepreneur residing in the Eastern region, whose bachelor's degree underpins his professional pursuits. As a married man without children, his lifestyle likely emphasizes career growth and personal development, balancing the demands of his business ventures with the stability of a registered marital partnership."
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,9551.09,51.0,2.04,1.0,4.0,5.0,1.0,2.0,46.0,1.0,4.0,25255.0,16805.67,36,Central,Corporate Employee,2590,"This individual embodies a mid-career professional male working in the corporate sector, residing in the Central region. With a bachelor's degree shaping his educational foundation, he is navigating life as a single adult without children, focusing on personal and professional growth."
0.0,0.0,Female,high school,single,5.0,5.0,1.0,2.0,4.0,1.0,0.0,1.0,4614.82,78.0,3.39,1.0,13.0,38.0,1.0,7.0,40.0,1.0,9.0,80821.0,78172.93,35,Central,Corporate Employee,1584,"This individual is a mid-career female corporate professional residing in the Central region. With a high school education as her academic foundation, she has carved out a path in the structured world of corporate employment. Currently single and without children, her lifestyle reflects a focus on personal and professional growth during this stage of life."
0.0,0.0,Female,vocational certificate/ diploma,single,4.0,4.0,1.0,0.0,5.0,2.0,0.0,1.0,1350.21,134.0,4.32,1.0,11.0,25.0,1.0,3.0,109.0,1.0,10.0,36205.0,36014.79,32,Northeastern,Corporate Employee,2603,"This customer represents an early-career professional woman working in the corporate sector, residing in the Northeastern region. With a vocational certificate or diploma, she has cultivated specialized skills that support her career growth. At 32 years old, she is navigating life as a single individual, focusing on personal and professional development. Without children, her current lifestyle allows for flexibility and the pursuit of opportunities that align with her ambitions and interests."
0.0,Unknown,Female,Unknown,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,2.84,94.0,3.76,1.0,13.0,39.0,1.0,5.0,55.0,1.0,8.0,23298.0,23297.08,25,Central,Student,425,"This individual is a young adult female pursuing studies in the Central region, embodying the aspirations and challenges of early adulthood. With her educational background unspecified, she is currently focused on academic or professional development as a student. Unmarried and without children, her lifestyle reflects the independence and flexibility often associated with this stage of life."
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,28,Central,Entrepreneur,4113,"This individual is a young, single woman navigating her entrepreneurial journey in the Central region. With a high school education as her foundation, she is carving out her professional path while embracing the flexibility and independence of her current life stage. Without children, her focus remains on personal growth and building her business endeavors, reflecting a dynamic and ambitious lifestyle."
0.0,0.0,Female,master's degree,single,7.0,6.0,4.0,4.0,2.0,0.0,0.0,1.0,96.15,14.0,1.75,1.0,4.0,2.0,1.0,1.0,12.0,1.0,4.0,17500.0,38405.0,37,Central,Corporate Employee,105,"This customer represents an established, career-focused female corporate professional based in the Central region. With a master’s degree, she likely values personal growth and intellectual pursuits, which align with her role in the corporate sector. Being 37 and single, she may prioritize career advancement and personal development over traditional family commitments, as she currently has no children."
1.0,1.0,Female,others,married - non registered,6.0,5.0,4.0,3.0,1.0,1.0,0.0,2.0,41578.87,68.0,3.78,1.0,24.0,22.0,1.0,12.0,46.0,1.0,12.0,207595.55,205807.01,51,Central,Entrepreneur,2212,"This customer represents a seasoned, entrepreneurial female in her early fifties, residing in the Central region. With a non-traditional educational background, she has carved out a path as a business owner, demonstrating adaptability and drive. Her personal life reflects a stable partnership through a non-registered marriage, and she balances her professional ambitions with the responsibilities of raising one child."
0.0,0.0,Male,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29,Central,Corporate Employee,554,"This individual reflects a young, career-focused male working as a corporate employee in the Central region. With a bachelor's degree providing a solid educational foundation, he is navigating the early stages of professional growth. Currently single and without children, his lifestyle likely emphasizes personal development, career advancement, and social engagement."
0.0,0.0,Male,high school,married - registered,3.0,3.0,5.0,0.0,3.0,0.0,0.0,5.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Southern,Freelancer,2577,"This individual is a young adult male navigating life as a freelancer in the Southern region. With a high school education as his academic foundation, he has embraced the flexibility of self-employment. Married and in a registered partnership, he and his spouse are currently focused on their shared journey without children. His profile reflects a stage of life marked by professional independence and the beginnings of marital stability."
1.0,0.0,Female,vocational certificate/ diploma,single,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,100755.16,32.0,2.29,1.0,6.0,7.0,1.0,4.0,25.0,1.0,5.0,117464.0,137749.16,38,Central,Freelancer,2437,"This individual is a 38-year-old female freelancer residing in the Central region, navigating a dynamic career path with the practical expertise gained from a vocational certificate or diploma. As a single parent with one child, she balances her professional independence with the responsibilities of raising a family, embodying a self-reliant and adaptable lifestyle."
0.0,Unknown,Male,others,others,4.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,94389.81,57.0,2.38,1.0,5.0,3.0,1.0,1.0,54.0,1.0,5.0,158598.74,80647.89,37,Central,Corporate Employee,1788,"This individual is a mid-career male corporate professional residing in the Central region. With an educational background categorized as non-traditional, he brings a unique perspective to his professional endeavors. His marital status falls outside conventional classifications, and he currently has no children, allowing for a lifestyle that may prioritize personal growth, career advancement, or diverse interests."
0.0,Unknown,Female,Unknown,single,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1008.95,6.0,1.2,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1749.0,870.0,22,Northeastern,Student,3521,"This customer represents a young, single female navigating the early stages of adulthood as a student based in the Northeastern region. With her educational background currently unspecified, she is focused on academic pursuits and career preparation. Her life stage is characterized by independence and exploration, as she has no children and is not yet tied to marital commitments."
1.0,1.0,Female,less than high school,married,4.0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,5431.78,12.0,1.71,1.0,4.0,4.0,1.0,2.0,8.0,1.0,2.0,21300.0,18510.5,59,Central,Entrepreneur,2785,"This customer represents a seasoned, entrepreneurial woman residing in the Central region, navigating life with the resourcefulness of someone who has built a career through independent ventures. With less than a high school education, she has likely relied on practical experience and determination to succeed in her endeavors. Married and raising one child, she balances her family commitments with the demands of her business, embodying a dynamic lifestyle shaped by both personal and professional responsibilities."
0.0,0.0,Male,Unknown,single,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Northeastern,Unemployed,1732,"This individual represents a midlife single man residing in the Northeastern region, currently navigating life without formal employment. With no children to support, his personal responsibilities are relatively minimal, allowing for a focus on individual pursuits or community involvement. While his educational background is not specified, his circumstances suggest potential interest in opportunities for personal growth or financial stability."
