Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,CUST_ID,cluster
0.0,1.0,Female,bachelor's degree,married,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,56.0,Eastern,Corporate Employee,3971,0
0.0,,Female,others,single,4.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,169040.95,62.0,2.82,1.0,9.0,34.0,1.0,6.0,28.0,1.0,7.0,12198.0,38116.3,32.0,Northeastern,Freelancer,2154,4
0.0,,Male,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,22.0,Northeastern,Student,1290,8
0.0,0.0,Female,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Northeastern,Student,2459,7
0.0,0.0,Female,bachelor's degree,single,8.0,8.0,6.0,1.0,5.0,1.0,0.0,3.0,2342.98,111.0,3.96,1.0,18.0,13.0,1.0,3.0,98.0,1.0,17.0,91634.16,138172.12,28.0,Central,Corporate Employee,3806,5
0.0,,Male,others,married,7.0,5.0,4.0,0.0,4.0,1.0,0.0,1.0,11581.86,33.0,1.57,1.0,3.0,5.0,1.0,2.0,28.0,1.0,3.0,18630.0,19113.0,71.0,Central,Corporate Employee,1523,8
0.0,,Female,less than high school,single,4.0,4.0,1.0,0.0,5.0,1.0,0.0,1.0,153.27,87.0,3.35,1.0,14.0,17.0,1.0,5.0,70.0,1.0,10.0,79983.0,84740.86,44.0,Central,Corporate Employee,1695,7
0.0,,Female,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Western,Corporate Employee,3986,2
0.0,,Male,,single,3.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,7.02,28.0,1.87,1.0,3.0,6.0,1.0,1.0,22.0,1.0,3.0,5400.0,5403.96,26.0,Southern,Freelancer,898,4
0.0,,Female,others,single,4.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,752.9,891.0,29.7,2.0,103.0,273.0,1.0,29.0,618.0,1.0,74.0,88648.65,87965.62,23.0,Northeastern,Student,1165,2
0.0,1.0,Female,bachelor's degree,single,6.0,5.0,3.0,1.0,4.0,1.0,0.0,3.0,0.05,15.0,1.67,1.0,2.0,8.0,1.0,2.0,7.0,1.0,1.0,20250.0,20250.51,53.0,Northeastern,Entrepreneur,2045,3
0.0,0.0,Male,high school,married,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,Central,Corporate Employee,415,1
0.0,0.0,Female,high school,married - registered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,33.0,Central,Corporate Employee,2214,7
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,5.0,0.0,3.0,1.0,0.0,1.0,4029.0,111.0,3.7,1.0,10.0,23.0,1.0,2.0,88.0,1.0,8.0,127214.01,133199.93,32.0,Central,Corporate Employee,3614,5
0.0,0.0,Male,vocational certificate/ diploma,single,4.0,4.0,1.0,0.0,4.0,0.0,0.0,1.0,23685.09,169.0,7.68,1.0,32.0,73.0,1.0,16.0,96.0,1.0,16.0,683012.28,670861.93,26.0,Central,Corporate Employee,3651,5
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Central,Other,319,1
0.0,0.0,Female,bachelor's degree,separate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,42.0,Southern,Freelancer,464,4
2.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,75.0,Central,Entrepreneur,3595,3
0.0,1.0,Male,high school,single,4.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1067.66,15.0,2.14,1.0,3.0,5.0,1.0,2.0,10.0,1.0,2.0,26200.0,27090.0,32.0,Central,Entrepreneur,2555,1
0.0,1.0,Male,high school,married,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,6289.1,29.0,1.61,1.0,4.0,22.0,1.0,3.0,7.0,1.0,2.0,204520.0,201805.0,66.0,Central,Entrepreneur,2112,6
0.0,,Female,others,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,2203.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,600.0,0.0,21.0,Northern,Student,2836,2
0.0,1.0,Female,bachelor's degree,married - registered,6.0,6.0,4.0,2.0,4.0,0.0,0.0,3.0,203078.18,427.0,13.77,1.0,30.0,362.0,1.0,24.0,65.0,1.0,8.0,863896.0,1772282.32,42.0,Central,Entrepreneur,1131,3
0.0,0.0,Female,high school,single,4.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,37909.17,197.0,6.57,3.0,12.0,113.0,1.0,7.0,84.0,1.0,7.0,767385.0,736029.43,41.0,Eastern,Entrepreneur,1042,3
0.0,1.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,26.0,Central,Entrepreneur,458,3
1.0,,Female,others,married - registered,4.0,4.0,3.0,0.0,3.0,2.0,0.0,2.0,25.71,34.0,1.7,1.0,4.0,16.0,1.0,2.0,18.0,1.0,3.0,17412.46,18070.75,61.0,Eastern,Entrepreneur,890,3
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Central,Corporate Employee,2324,1
0.0,0.0,Female,high school,single,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Central,Corporate Employee,309,7
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,40.0,Central,Corporate Employee,2656,1
0.0,,Female,,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,9.49,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,24.0,Central,Corporate Employee,597,2
0.0,,Male,,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,0.83,81.0,2.89,1.0,4.0,27.0,1.0,1.0,54.0,1.0,3.0,22436.0,22528.0,26.0,Central,Freelancer,4344,4
0.0,,Male,,,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,47.43,10.0,1.67,1.0,2.0,6.0,1.0,1.0,4.0,1.0,1.0,1791.24,1776.97,28.0,Southern,Unemployed,1946,8
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,40.0,Eastern,Corporate Employee,3322,1
0.0,0.0,Female,others,married - registered,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,10751.68,44.0,1.91,1.0,4.0,13.0,1.0,2.0,31.0,1.0,3.0,33570.0,38820.0,32.0,Central,Corporate Employee,291,0
0.0,0.0,Male,less than high school,,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,1623.97,15.0,1.36,1.0,3.0,5.0,1.0,1.0,10.0,1.0,2.0,6500.0,6313.86,45.0,Central,Other,4106,1
0.0,,Male,others,single,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,9000.0,10.0,1.43,1.0,4.0,2.0,1.0,1.0,8.0,1.0,3.0,11210.0,10450.0,24.0,Eastern,Student,1026,8
0.0,,Male,,married,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,61.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,Northeastern,Freelancer,1784,4
0.0,0.0,Male,high school,married,5.0,5.0,2.0,0.0,5.0,1.0,0.0,2.0,38245.5,33.0,2.2,1.0,6.0,13.0,1.0,2.0,20.0,1.0,4.0,143700.0,160535.2,53.0,Eastern,Entrepreneur,3107,6
0.0,,Female,,,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,147.03,14.0,2.0,1.0,3.0,5.0,1.0,1.0,9.0,1.0,2.0,1130.0,1014.0,29.0,Southern,Freelancer,1190,4
0.0,1.0,Female,bachelor's degree,married,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,Southern,Entrepreneur,1814,3
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Central,Corporate Employee,1558,5
0.0,1.0,Female,bachelor's degree,single,4.0,4.0,4.0,1.0,4.0,0.0,0.0,3.0,181492.43,40.0,2.67,1.0,8.0,8.0,1.0,5.0,32.0,1.0,5.0,321692.0,157830.67,37.0,Western,Professional,4049,5
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,42.0,Central,Corporate Employee,1184,7
0.0,,Female,others,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,27.0,Central,Corporate Employee,4095,2
0.0,1.0,Male,others,single,3.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,17903.12,48.0,2.29,1.0,5.0,12.0,1.0,4.0,36.0,1.0,4.0,20410.14,24015.07,33.0,Northeastern,Professional,3581,8
0.0,0.0,Male,bachelor's degree,single,5.0,5.0,2.0,0.0,5.0,0.0,0.0,2.0,103642.38,18.0,1.64,1.0,3.0,11.0,1.0,3.0,7.0,1.0,1.0,148710.0,52620.0,36.0,Central,Corporate Employee,3460,5
0.0,,Female,,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,22.0,Southern,Student,71,2
2.0,0.0,Female,less than high school,single,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,132954.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,Central,Freelancer,1363,4
0.0,0.0,Female,bachelor's degree,single,6.0,6.0,1.0,0.0,6.0,1.0,0.0,1.0,86932.27,27.0,2.25,1.0,7.0,3.0,1.0,1.0,24.0,1.0,6.0,109379.0,35496.79,50.0,Southern,Corporate Employee,2964,5
0.0,,Female,bachelor's degree,married - registered,6.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,79.88,17.0,1.89,1.0,4.0,7.0,1.0,2.0,10.0,1.0,2.0,21930.0,32271.17,33.0,Northeastern,Corporate Employee,2326,0
0.0,,Male,bachelor's degree,single,5.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,15968.47,7.0,1.4,1.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,33000.0,20029.38,58.0,Central,Entrepreneur,1996,6
0.0,,Male,others,others,7.0,7.0,1.0,2.0,4.0,1.0,0.0,1.0,267.48,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2000.0,54.0,Central,Corporate Employee,3498,8
0.0,,Female,,single,4.0,4.0,2.0,0.0,5.0,1.0,0.0,2.0,2.95,13.0,2.17,1.0,4.0,4.0,1.0,2.0,9.0,1.0,3.0,2611.0,2616.93,20.0,Central,Student,4125,2
0.0,0.0,Female,vocational certificate/ diploma,single,3.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,38917.94,10.0,1.11,1.0,2.0,5.0,1.0,2.0,5.0,1.0,1.0,24894.0,15101.84,73.0,Central,Entrepreneur,1181,5
0.0,1.0,Female,master's degree,single,6.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,329209.87,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,400000.0,601000.0,45.0,Central,Professional,3205,5
0.0,,Female,others,married,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1592.25,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1943.29,505.0,64.0,Southern,Corporate Employee,1483,2
0.0,,Male,others,others,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6764.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Central,Other,2516,8
0.0,0.0,Female,less than high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,53.0,Northern,Homemaker,3554,7
0.0,,Female,,married,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,36.0,Central,Corporate Employee,1002,2
0.0,1.0,Female,less than high school,married,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,685.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,Central,Entrepreneur,158,3
0.0,0.0,Female,bachelor's degree,single,7.0,7.0,2.0,2.0,5.0,0.0,0.0,2.0,17.43,312.0,10.06,2.0,24.0,114.0,1.0,9.0,198.0,2.0,18.0,204493.13,204475.97,35.0,Eastern,Entrepreneur,1766,3
0.0,2.0,Female,high school,married,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,19971.13,41.0,1.64,1.0,3.0,24.0,1.0,2.0,17.0,1.0,3.0,9283.0,15182.86,44.0,Central,Homemaker,3842,7
3.0,0.0,Female,less than high school,widow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,50.0,Central,Corporate Employee,2304,7
0.0,0.0,Female,vocational certificate,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,29.0,Eastern,Corporate Employee,692,5
0.0,,Male,bachelor's degree,married,7.0,7.0,5.0,1.0,5.0,1.0,0.0,2.0,71654.9,58.0,2.52,1.0,7.0,14.0,1.0,2.0,44.0,1.0,5.0,158245.7,113678.26,44.0,Central,Corporate Employee,3089,6
0.0,0.0,Male,less than high school,single,3.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,747.83,62.0,3.26,1.0,15.0,21.0,1.0,5.0,41.0,1.0,10.0,14730.0,14009.0,40.0,Central,Corporate Employee,2373,1
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,41.0,Central,Corporate Employee,367,1
0.0,,Male,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,34.0,Northeastern,Corporate Employee,3076,8
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,30.0,Central,Student,2958,1
0.0,0.0,Female,bachelor's degree,single,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,12606.01,143.0,4.93,1.0,14.0,31.0,1.0,6.0,112.0,1.0,9.0,23408.91,39348.5,24.0,Central,Student,1564,5
0.0,,Male,,single,2.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,6503.18,121.0,4.65,1.0,12.0,48.0,1.0,6.0,73.0,1.0,6.0,47563.0,41060.0,34.0,Central,Corporate Employee,3072,8
0.0,0.0,Male,high school,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,248.01,5.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1200.0,1000.0,52.0,Central,Freelancer,310,4
0.0,,Male,,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,2022.91,387.0,19.35,1.0,34.0,343.0,1.0,31.0,44.0,1.0,4.0,302059.3,300036.39,23.0,Eastern,Corporate Employee,3589,8
0.0,0.0,Male,vocational certificate,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,73.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Central,Corporate Employee,288,5
0.0,0.0,Female,,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,400.33,199.0,6.86,1.0,21.0,63.0,1.0,7.0,136.0,1.0,15.0,27089.36,26729.05,23.0,Central,Student,3508,2
0.0,0.0,Female,bachelor's degree,single,5.0,5.0,1.0,2.0,5.0,0.0,0.0,1.0,54996.2,181.0,6.03,2.0,12.0,24.0,1.0,3.0,157.0,2.0,11.0,175214.52,156184.35,30.0,Southern,Corporate Employee,135,5
0.0,,Male,others,single,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9368.41,31.0,3.44,1.0,7.0,4.0,1.0,2.0,27.0,1.0,6.0,16805.07,15752.0,26.0,Central,Corporate Employee,2060,8
0.0,1.0,Male,bachelor's degree,married,5.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,1050925.79,24.0,1.5,1.0,5.0,3.0,1.0,2.0,21.0,1.0,4.0,487130.0,365721.32,57.0,Northeastern,Entrepreneur,2758,6
0.0,1.0,Female,less than high school,married,9.0,8.0,6.0,1.0,7.0,0.0,0.0,4.0,380338.21,193.0,6.43,1.0,32.0,101.0,1.0,24.0,92.0,1.0,9.0,473732.52,374960.51,48.0,Central,Corporate Employee,152,0
0.0,,Female,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,24.0,Central,Student,1238,2
0.0,1.0,Male,others,single,4.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,213.26,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,39500.0,40000.0,56.0,Northeastern,Entrepreneur,2495,3
0.0,0.0,Female,high school,single,6.0,6.0,1.0,1.0,5.0,0.0,0.0,1.0,4899.7,143.0,4.93,1.0,21.0,34.0,1.0,6.0,109.0,1.0,15.0,49477.2,46166.07,43.0,Southern,Corporate Employee,3084,7
0.0,0.0,Female,high school,married,4.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,3372517.88,14.0,2.0,1.0,4.0,5.0,1.0,2.0,9.0,1.0,2.0,327.38,65049.1,44.0,Central,Entrepreneur,1028,3
0.0,,Female,,,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,240.07,185.0,5.97,2.0,14.0,51.0,1.0,4.0,134.0,1.0,10.0,34755.0,35041.0,20.0,Southern,Corporate Employee,4325,2
0.0,1.0,Female,bachelor's degree,single,3.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,388.39,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,71000.0,71152.84,43.0,Central,Entrepreneur,62,3
0.0,1.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Central,Corporate Employee,275,7
0.0,1.0,Male,bachelor's degree,married,6.0,5.0,3.0,1.0,3.0,0.0,0.0,2.0,1578.23,10.0,2.5,2.0,3.0,5.0,1.0,2.0,5.0,1.0,2.0,133200.0,133359.0,49.0,Central,Corporate Employee,3923,6
0.0,,Male,,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.56,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,22.0,Eastern,Corporate Employee,1642,8
0.0,,Male,others,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,59.0,Central,Entrepreneur,3584,8
0.0,0.0,Female,bachelor's degree,married,5.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,260.44,12.0,1.71,1.0,3.0,3.0,1.0,1.0,9.0,1.0,2.0,31300.0,32929.0,38.0,Northern,Unemployed,316,0
0.0,0.0,Female,less than high school,single,4.0,4.0,2.0,0.0,6.0,1.0,0.0,2.0,5350.05,195.0,6.29,1.0,12.0,45.0,1.0,4.0,150.0,1.0,11.0,12777.5,13331.0,23.0,Central,Student,4107,7
0.0,,Female,,single,3.0,3.0,3.0,0.0,2.0,1.0,0.0,2.0,1400.6,320.0,11.03,3.0,34.0,109.0,1.0,12.0,211.0,1.0,22.0,87570.0,86371.3,19.0,Central,Unemployed,3037,2
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,14438.59,28.0,2.0,1.0,4.0,13.0,1.0,2.0,15.0,1.0,3.0,14940.0,11012.0,24.0,Southern,Entrepreneur,180,6
0.0,1.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,48.0,Central,Freelancer,1171,4
0.0,,Female,,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,33.0,Southern,Student,97,2
1.0,0.0,Female,high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,44.0,Southern,Homemaker,1840,7
0.0,0.0,Female,doctorate's degree,single,5.0,5.0,5.0,1.0,4.0,0.0,0.0,2.0,34473.35,27.0,2.7,1.0,10.0,8.0,1.0,5.0,19.0,1.0,6.0,69523.11,68707.93,47.0,Central,Professional,145,0
0.0,0.0,Female,high school,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,262531.4,39.0,2.17,1.0,5.0,2.0,1.0,1.0,37.0,1.0,5.0,130061.69,26197.0,26.0,Central,Student,1177,7
0.0,0.0,Female,high school,single,5.0,5.0,1.0,0.0,6.0,1.0,0.0,1.0,0.41,115.0,3.97,1.0,15.0,49.0,1.0,12.0,66.0,1.0,4.0,36504.1,36518.83,23.0,Central,Student,2224,7
0.0,,Female,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,56.0,Eastern,Corporate Employee,1974,2
0.0,0.0,Female,high school,single,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,44.0,Northeastern,Corporate Employee,3548,7
0.0,1.0,Female,bachelor's degree,single,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1795.21,7.0,1.4,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,51500.0,52392.0,53.0,Central,Corporate Employee,3207,5
0.0,,Male,others,married - registered,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,28.0,Northeastern,Corporate Employee,2937,8
0.0,,Female,,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,321629.36,18.0,1.38,1.0,3.0,12.0,1.0,3.0,6.0,1.0,1.0,78710.0,28196.62,32.0,Northern,Professional,3490,2
0.0,0.0,Female,bachelor's degree,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,1504016.0,44.0,2.32,1.0,6.0,7.0,1.0,1.0,37.0,1.0,5.0,1570825.0,116825.12,32.0,Central,Corporate Employee,644,5
0.0,1.0,Female,others,married - non registered,9.0,8.0,4.0,2.0,5.0,1.0,0.0,2.0,36068.74,315.0,10.16,1.0,24.0,89.0,1.0,11.0,226.0,1.0,17.0,340833.42,308502.84,38.0,Western,Corporate Employee,3002,0
0.0,,Male,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Central,Student,1567,8
0.0,0.0,Female,high school,married,4.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,20392.71,85.0,2.93,1.0,7.0,46.0,1.0,4.0,39.0,1.0,5.0,94382.0,74734.99,56.0,Southern,Corporate Employee,2727,7
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,3130.16,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500.0,200.0,36.0,Northeastern,Other,2697,6
0.0,1.0,Male,master's degree,single,11.0,8.0,12.0,1.0,5.0,0.0,0.0,4.0,9093.16,63.0,2.52,1.0,7.0,11.0,1.0,3.0,52.0,1.0,6.0,148047.48,223910.01,38.0,Eastern,Entrepreneur,3211,6
