Number of Children,Number of Vehicles,Gender,Education level,Marital status,Savings Account,Savings Account Subgroup,Health Insurance,Lending,Payment,Service,Business Lending,Deposit Account,Deposit Account Balance,Deposit Account Transactions,Deposit Account Transactions AVG,Deposit Account Transactions MIN,Deposit Account Transactions MAX,Deposit Account Inflow,Deposit Account Inflow MIN,Deposit Account Inflow MAX,Deposit Account Outflow,Deposit Account Outflow MIN,Deposit Account Outflow MAX,Deposit Account Inflow Amount,Deposit Account Outflow Amount,Age,Region,Occupation Group,cluster,merged_cluster
0.0,,Male,others,single,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,9000.0,10.0,1.43,1.0,4.0,2.0,1.0,1.0,8.0,1.0,3.0,11210.0,10450.0,24.0,Eastern,Student,0,0
0.0,,Male,,married,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,61.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,Northeastern,Freelancer,0,0
0.0,0.0,Male,high school,married,5.0,5.0,2.0,0.0,5.0,1.0,0.0,2.0,38245.5,33.0,2.2,1.0,6.0,13.0,1.0,2.0,20.0,1.0,4.0,143700.0,160535.2,53.0,Eastern,Entrepreneur,0,0
0.0,0.0,Male,vocational certificate,married,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,985.71,742.0,24.73,1.0,45.0,702.0,1.0,42.0,40.0,1.0,3.0,130972.0,130146.67,26.0,Eastern,Entrepreneur,0,0
0.0,,Female,,,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,147.03,14.0,2.0,1.0,3.0,5.0,1.0,1.0,9.0,1.0,2.0,1130.0,1014.0,29.0,Southern,Freelancer,0,0
0.0,1.0,Female,bachelor's degree,married,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,Southern,Entrepreneur,0,0
0.0,0.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Central,Corporate Employee,0,0
0.0,0.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,42.0,Central,Corporate Employee,0,0
0.0,,Female,others,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,27.0,Central,Corporate Employee,0,0
0.0,1.0,Male,others,single,3.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,17903.12,48.0,2.29,1.0,5.0,12.0,1.0,4.0,36.0,1.0,4.0,20410.14,24015.07,33.0,Northeastern,Professional,0,0
0.0,0.0,Male,bachelor's degree,single,5.0,5.0,2.0,0.0,5.0,0.0,0.0,2.0,103642.38,18.0,1.64,1.0,3.0,11.0,1.0,3.0,7.0,1.0,1.0,148710.0,52620.0,36.0,Central,Corporate Employee,0,0
0.0,,Female,,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,22.0,Southern,Student,0,0
2.0,0.0,Female,less than high school,single,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,132954.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,Central,Freelancer,0,0
0.0,0.0,Female,bachelor's degree,single,6.0,6.0,1.0,0.0,6.0,1.0,0.0,1.0,86932.27,27.0,2.25,1.0,7.0,3.0,1.0,1.0,24.0,1.0,6.0,109379.0,35496.79,50.0,Southern,Corporate Employee,0,0
0.0,,Female,bachelor's degree,married - registered,6.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,79.88,17.0,1.89,1.0,4.0,7.0,1.0,2.0,10.0,1.0,2.0,21930.0,32271.17,33.0,Northeastern,Corporate Employee,0,0
0.0,,Male,bachelor's degree,single,5.0,5.0,1.0,2.0,4.0,0.0,0.0,1.0,15968.47,7.0,1.4,1.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,33000.0,20029.38,58.0,Central,Entrepreneur,0,0
0.0,,Male,others,others,7.0,7.0,1.0,2.0,4.0,1.0,0.0,1.0,267.48,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2000.0,54.0,Central,Corporate Employee,0,0
0.0,,Female,,single,4.0,4.0,2.0,0.0,5.0,1.0,0.0,2.0,2.95,13.0,2.17,1.0,4.0,4.0,1.0,2.0,9.0,1.0,3.0,2611.0,2616.93,20.0,Central,Student,0,0
0.0,0.0,Female,vocational certificate/ diploma,single,3.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,38917.94,10.0,1.11,1.0,2.0,5.0,1.0,2.0,5.0,1.0,1.0,24894.0,15101.84,73.0,Central,Entrepreneur,0,0
0.0,1.0,Female,master's degree,single,6.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,329209.87,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,400000.0,601000.0,45.0,Central,Professional,4,4
0.0,,Female,others,married,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1592.25,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1943.29,505.0,64.0,Southern,Corporate Employee,0,0
0.0,0.0,Female,less than high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,53.0,Northern,Homemaker,0,0
0.0,,Female,,married,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,36.0,Central,Corporate Employee,0,0
0.0,1.0,Female,less than high school,married,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,685.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,Central,Entrepreneur,0,0
0.0,2.0,Female,high school,married,4.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,19971.13,41.0,1.64,1.0,3.0,24.0,1.0,2.0,17.0,1.0,3.0,9283.0,15182.86,44.0,Central,Homemaker,0,0
3.0,0.0,Female,less than high school,widow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,50.0,Central,Corporate Employee,0,0
0.0,0.0,Female,vocational certificate,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,29.0,Eastern,Corporate Employee,0,0
0.0,,Male,bachelor's degree,married,7.0,7.0,5.0,1.0,5.0,1.0,0.0,2.0,71654.9,58.0,2.52,1.0,7.0,14.0,1.0,2.0,44.0,1.0,5.0,158245.7,113678.26,44.0,Central,Corporate Employee,0,0
0.0,0.0,Male,less than high school,single,3.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,747.83,62.0,3.26,1.0,15.0,21.0,1.0,5.0,41.0,1.0,10.0,14730.0,14009.0,40.0,Central,Corporate Employee,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,41.0,Central,Corporate Employee,0,0
0.0,,Male,others,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,34.0,Northeastern,Corporate Employee,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,30.0,Central,Student,0,0
0.0,0.0,Female,bachelor's degree,single,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,12606.01,143.0,4.93,1.0,14.0,31.0,1.0,6.0,112.0,1.0,9.0,23408.91,39348.5,24.0,Central,Student,0,0
0.0,,Male,,single,2.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,6503.18,121.0,4.65,1.0,12.0,48.0,1.0,6.0,73.0,1.0,6.0,47563.0,41060.0,34.0,Central,Corporate Employee,0,0
0.0,0.0,Male,high school,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,248.01,5.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1200.0,1000.0,52.0,Central,Freelancer,0,0
0.0,,Male,,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,2022.91,387.0,19.35,1.0,34.0,343.0,1.0,31.0,44.0,1.0,4.0,302059.3,300036.39,23.0,Eastern,Corporate Employee,0,0
0.0,0.0,Male,vocational certificate,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,73.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Central,Corporate Employee,0,0
0.0,0.0,Female,,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,400.33,199.0,6.86,1.0,21.0,63.0,1.0,7.0,136.0,1.0,15.0,27089.36,26729.05,23.0,Central,Student,0,0
0.0,0.0,Female,bachelor's degree,single,5.0,5.0,1.0,2.0,5.0,0.0,0.0,1.0,54996.2,181.0,6.03,2.0,12.0,24.0,1.0,3.0,157.0,2.0,11.0,175214.52,156184.35,30.0,Southern,Corporate Employee,0,0
0.0,,Male,others,single,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9368.41,31.0,3.44,1.0,7.0,4.0,1.0,2.0,27.0,1.0,6.0,16805.07,15752.0,26.0,Central,Corporate Employee,0,0
0.0,1.0,Male,bachelor's degree,married,5.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,1050925.79,24.0,1.5,1.0,5.0,3.0,1.0,2.0,21.0,1.0,4.0,487130.0,365721.32,57.0,Northeastern,Entrepreneur,5,5
0.0,,Female,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,24.0,Central,Student,0,0
0.0,1.0,Male,others,single,4.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,213.26,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,39500.0,40000.0,56.0,Northeastern,Entrepreneur,0,0
0.0,0.0,Female,high school,single,6.0,6.0,1.0,1.0,5.0,0.0,0.0,1.0,4899.7,143.0,4.93,1.0,21.0,34.0,1.0,6.0,109.0,1.0,15.0,49477.2,46166.07,43.0,Southern,Corporate Employee,0,0
0.0,0.0,Female,high school,married,4.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,3372517.88,14.0,2.0,1.0,4.0,5.0,1.0,2.0,9.0,1.0,2.0,327.38,65049.1,44.0,Central,Entrepreneur,3,5
0.0,1.0,Female,bachelor's degree,single,3.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,388.39,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,71000.0,71152.84,43.0,Central,Entrepreneur,0,0
0.0,1.0,Female,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,38.0,Central,Corporate Employee,0,0
0.0,1.0,Male,bachelor's degree,married,6.0,5.0,3.0,1.0,3.0,0.0,0.0,2.0,1578.23,10.0,2.5,2.0,3.0,5.0,1.0,2.0,5.0,1.0,2.0,133200.0,133359.0,49.0,Central,Corporate Employee,0,0
0.0,,Male,,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.56,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,22.0,Eastern,Corporate Employee,0,0
0.0,,Male,others,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,59.0,Central,Entrepreneur,0,0
0.0,0.0,Female,bachelor's degree,married,5.0,5.0,1.0,0.0,3.0,0.0,0.0,1.0,260.44,12.0,1.71,1.0,3.0,3.0,1.0,1.0,9.0,1.0,2.0,31300.0,32929.0,38.0,Northern,Unemployed,0,0
0.0,0.0,Female,less than high school,single,4.0,4.0,2.0,0.0,6.0,1.0,0.0,2.0,5350.05,195.0,6.29,1.0,12.0,45.0,1.0,4.0,150.0,1.0,11.0,12777.5,13331.0,23.0,Central,Student,0,0
0.0,0.0,Male,bachelor's degree,single,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,14438.59,28.0,2.0,1.0,4.0,13.0,1.0,2.0,15.0,1.0,3.0,14940.0,11012.0,24.0,Southern,Entrepreneur,0,0
0.0,1.0,Female,bachelor's degree,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,48.0,Central,Freelancer,0,0
0.0,,Female,,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,33.0,Southern,Student,0,0
1.0,0.0,Female,high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,44.0,Southern,Homemaker,0,0
0.0,0.0,Female,doctorate's degree,single,5.0,5.0,5.0,1.0,4.0,0.0,0.0,2.0,34473.35,27.0,2.7,1.0,10.0,8.0,1.0,5.0,19.0,1.0,6.0,69523.11,68707.93,47.0,Central,Professional,0,0
0.0,0.0,Female,high school,single,3.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,262531.4,39.0,2.17,1.0,5.0,2.0,1.0,1.0,37.0,1.0,5.0,130061.69,26197.0,26.0,Central,Student,0,0
0.0,0.0,Female,high school,single,5.0,5.0,1.0,0.0,6.0,1.0,0.0,1.0,0.41,115.0,3.97,1.0,15.0,49.0,1.0,12.0,66.0,1.0,4.0,36504.1,36518.83,23.0,Central,Student,0,0
0.0,,Female,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,56.0,Eastern,Corporate Employee,0,0
0.0,0.0,Female,high school,single,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,44.0,Northeastern,Corporate Employee,0,0
0.0,1.0,Female,bachelor's degree,single,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1795.21,7.0,1.4,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,51500.0,52392.0,53.0,Central,Corporate Employee,0,0
1.0,1.0,Male,bachelor's degree,married - registered,5.0,5.0,3.0,1.0,4.0,0.0,0.0,2.0,3790.47,53.0,2.52,1.0,7.0,8.0,1.0,2.0,45.0,1.0,6.0,137060.0,133412.43,43.0,Eastern,Entrepreneur,0,0
0.0,,Male,others,married - registered,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,28.0,Northeastern,Corporate Employee,0,0
0.0,,Female,,single,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,321629.36,18.0,1.38,1.0,3.0,12.0,1.0,3.0,6.0,1.0,1.0,78710.0,28196.62,32.0,Northern,Professional,0,0
0.0,0.0,Female,bachelor's degree,single,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,1504016.0,44.0,2.32,1.0,6.0,7.0,1.0,1.0,37.0,1.0,5.0,1570825.0,116825.12,32.0,Central,Corporate Employee,5,5
0.0,0.0,Male,vocational certificate/ diploma,single,6.0,5.0,6.0,0.0,2.0,1.0,0.0,2.0,50473.79,38.0,4.75,1.0,16.0,11.0,1.0,6.0,27.0,1.0,10.0,182645.23,332317.72,42.0,Central,Corporate Employee,0,0
0.0,,Male,others,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Central,Student,0,0
0.0,0.0,Female,high school,married,4.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,20392.71,85.0,2.93,1.0,7.0,46.0,1.0,4.0,39.0,1.0,5.0,94382.0,74734.99,56.0,Southern,Corporate Employee,0,0
0.0,0.0,Male,bachelor's degree,single,4.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,3130.16,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500.0,200.0,36.0,Northeastern,Other,0,0
0.0,0.0,Male,high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,26.0,Northeastern,Student,0,0
0.0,1.0,Male,bachelor's degree,married,4.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Central,Corporate Employee,0,0
0.0,,Male,,,3.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,4.46,136.0,5.04,1.0,10.0,57.0,1.0,4.0,79.0,1.0,7.0,11163.95,11160.68,22.0,Southern,Unemployed,0,0
0.0,0.0,Female,vocational certificate/ diploma,single,3.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10000.0,10000.0,36.0,Southern,Corporate Employee,0,0
0.0,0.0,Male,high school,single,4.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,10.22,280.0,9.33,1.0,19.0,114.0,1.0,9.0,166.0,1.0,11.0,42274.0,42464.25,27.0,Central,Corporate Employee,0,0
0.0,0.0,Male,high school,single,4.0,4.0,2.0,0.0,5.0,0.0,0.0,2.0,5276.32,24.0,1.71,1.0,3.0,2.0,1.0,1.0,22.0,1.0,3.0,9141.0,7954.93,25.0,Central,Student,0,0
0.0,0.0,Male,less than high school,single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,43.0,Western,Corporate Employee,0,0
0.0,1.0,Female,bachelor's degree,married - registered,5.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,180467.85,69.0,3.0,1.0,10.0,16.0,1.0,4.0,53.0,1.0,10.0,348122.0,312832.55,42.0,Central,Corporate Employee,4,4
0.0,0.0,Male,high school,married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,32.0,Eastern,Corporate Employee,0,0
