CUST_ID,Number of Children,Age,Gender,Education level,Marital status,Region,Occupation Group,loan,utility,finance,shopping,financial_services,health_and_care,home_lifestyle,transport_travel,leisure,public_services,finance_t0,financial_services_t0,home_lifestyle_t0,loan_t0,shopping_t0,utility_t0,health_and_care_t0,transport_travel_t0,leisure_t0,public_services_t0
320,0.0,53,Female,bachelor's degree,single,Central,Unemployed,22000.0,217.64,225.0,0.0,0.0,0.0,0.0,0.0,1153.26,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.0,55,Female,others,married,Western,Entrepreneur,0.0,1977.43,0.0,6000.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612.9,0.0,0.0,0.0,0.0
328,0.0,33,Female,bachelor's degree,single,Northern,Entrepreneur,0.0,0.0,10390.02,5939.99,0.0,770.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0
336,0.0,43,Male,master's degree,married,Southern,Corporate Employee,10498.0,1472.95,0.0,0.0,0.0,0.0,41822.9,0.0,0.0,0.0,2288.0,0.0,38428.44,30540.0,0.0,0.0,0.0,0.0,0.0,0.0
347,0.0,57,Male,bachelor's degree,single,Central,Corporate Employee,0.0,0.0,0.0,465500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,331300.0,0.0,0.0,540.0,0.0,0.0
348,0.0,32,Male,bachelor's degree,single,Central,Corporate Employee,15000.0,854.9300000000001,4702.54,2134.54,0.0,0.0,393.0,244.0,0.0,0.0,1400.0,0.0,110.0,0.0,234.0,433.96,0.0,204.0,0.0,0.0
353,0.0,34,Female,bachelor's degree,married,Central,Entrepreneur,24758.0,1096.72,3619.84,1834.84,18166.33,0.0,2400.0,990.0,419.0,35923.0,727.46,0.0,16400.0,0.0,727.46,1188.28,0.0,0.0,0.0,0.0
354,0.0,48,Male,high school,married,Central,Freelancer,0.0,2455.6499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7452.8,0.0,0.0,0.0,0.0
359,0.0,27,Male,vocational certificate,single,Northeastern,Freelancer,440.0,704.34,683.93,50.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0
365,0.0,47,Female,master's degree,single,Central,Corporate Employee,239894.63,1083.21,22152.0,2147.0,0.0,0.0,0.0,49792.0,0.0,0.0,1366.0,0.0,1840.0,126418.0,1366.0,0.0,0.0,0.0,0.0,0.0
368,0.0,43,Female,bachelor's degree,married,Central,Corporate Employee,38686.0,3828.15,3438.0,3438.0,0.0,0.0,0.0,0.0,274.0,0.0,397.0,0.0,0.0,13400.0,1300.0,2523.7799999999997,0.0,0.0,718.0,0.0
369,0.0,47,Female,bachelor's degree,married,Southern,Corporate Employee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,26235.0,0.0,0.0,0.0,0.0,500.0,0.0,4438.6,0.0,0.0
379,0.0,38,Female,vocational certificate,single,Northeastern,Corporate Employee,0.0,0.0,1700.0,5902.0,4000.0,0.0,0.0,0.0,0.0,0.0,800.0,4000.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,178.0
384,0.0,34,Male,others,single,Northeastern,Corporate Employee,7050.0,0.0,315.0,1980.75,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0
396,0.0,45,Female,bachelor's degree,married,Central,Unemployed,0.0,7500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18800.0,4990.0,1300.0,19631.3,0.0,0.0,0.0,0.0
422,0.0,38,Female,vocational certificate,single,Southern,Corporate Employee,4923.5,4472.98,670.04,335.02,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,280.0,4504.86,300.0,930.9,0.0,0.0,0.0,0.0
432,0.0,29,Female,others,others,Southern,Corporate Employee,0.0,0.0,1109.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,5477.73,1480.0,245.0,0.0,3306.73,0.0,0.0,0.0,133.0,0.0
436,0.0,35,Female,bachelor's degree,single,Southern,Corporate Employee,0.0,0.0,0.0,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,1000.0,0.0,0.0,0.0,0.0
442,0.0,34,Female,high school,single,Central,Corporate Employee,0.0,1512.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.88,0.0,0.0,0.0,0.0
452,0.0,36,Male,bachelor's degree,single,Central,Corporate Employee,0.0,642.0,0.0,4900.0,2000.0,3695.0,0.0,0.0,0.0,0.0,1574.0,0.0,0.0,0.0,1574.0,0.0,0.0,0.0,0.0,0.0
453,0.0,82,Female,bachelor's degree,married,Central,Unemployed,0.0,373.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.86,0.0,0.0,0.0,0.0
456,1.0,36,Female,others,single,Central,Corporate Employee,0.0,483.11,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.07,0.0,0.0,0.0,0.0
457,0.0,30,Female,high school,single,Central,Corporate Employee,1500.0,1485.16,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0
459,0.0,55,Male,bachelor's degree,single,Central,Corporate Employee,654842.69,9955.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.73,173477.18,192100.0,7800.53,7400.0,0.0,0.0,0.0
475,0.0,35,Male,bachelor's degree,single,Central,Corporate Employee,429.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0
480,0.0,43,Male,vocational certificate,married,Northeastern,Corporate Employee,0.0,97.58,219.13,719.13,0.0,0.0,0.0,0.0,0.0,0.0,2399.8,0.0,0.0,0.0,2399.8,0.0,0.0,0.0,0.0,126.0
489,0.0,57,Female,bachelor's degree,married,Southern,Entrepreneur,0.0,0.0,0.0,0.0,105216.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,0.0,28,Male,high school,single,Central,Corporate Employee,0.0,1764.43,1930.5,853.0,640.0,0.0,1000.0,0.0,0.0,0.0,1683.0,0.0,400.0,0.0,1683.0,453.68,0.0,0.0,0.0,0.0
500,0.0,65,Female,others,single,Central,Corporate Employee,0.0,53.5,1939.06,959.53,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0
504,0.0,51,Female,master's degree,single,Central,Professional,48566.02,0.0,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35157.02,80165.57,0.0,0.0,0.0,0.0,0.0,0.0
510,0.0,38,Female,high school,single,Central,Corporate Employee,4000.0,0.0,1462.0,189.0,0.0,0.0,255.0,0.0,0.0,0.0,1430.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0
517,0.0,32,Female,vocational certificate,single,Northeastern,Corporate Employee,700.0,0.0,1653.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,300.0,0.0,0.0,0.0,0.0
518,0.0,44,Female,bachelor's degree,single,Central,Entrepreneur,0.0,0.0,0.0,0.0,3744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
523,0.0,36,Male,bachelor's degree,married,Central,Professional,5584.87,0.0,3039.46,778.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0.0,31,Male,others,single,Eastern,Corporate Employee,9709.0,0.0,1475.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9709.0,0.0,0.0,0.0,0.0,0.0,0.0
533,0.0,31,Female,high school,single,Central,Entrepreneur,0.0,0.0,15081.35,2543.0,0.0,0.0,0.0,0.0,3329.0,0.0,4667.0,0.0,0.0,0.0,4052.0,878.0999999999999,0.0,4299.0,0.0,0.0
537,0.0,36,Male,bachelor's degree,single,Eastern,Corporate Employee,0.0,75.76,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0
541,0.0,47,Male,less than high school,married,Central,Corporate Employee,0.0,1468.0500000000002,0.0,0.0,0.0,0.0,808.5,0.0,0.0,0.0,427.47,0.0,82504.5,0.0,0.0,1533.9299999999998,0.0,0.0,0.0,0.0
548,0.0,36,Female,others,single,Central,Professional,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10584.0,0.0,0.0,872.0,0.0,6067.57,0.0,6245.8,0.0,0.0
553,0.0,31,Female,others,divorce,Central,Entrepreneur,0.0,0.0,1406.76,699.6800000000001,740.0,0.0,0.0,0.0,0.0,0.0,8303.0,0.0,0.0,0.0,464.0,0.0,204.25,0.0,0.0,0.0
555,1.0,58,Male,vocational certificate,single,Central,Corporate Employee,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0
559,0.0,38,Female,bachelor's degree,married,Northern,Corporate Employee,48628.26,3261.16,109.14,0.0,24642.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,0.0,0.0,0.0,3376.17,0.0,0.0,0.0,0.0
560,0.0,39,Male,bachelor's degree,single,Central,Corporate Employee,0.0,19.31,2015.55,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1673.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
563,0.0,35,Female,bachelor's degree,married,Central,Corporate Employee,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0
566,0.0,27,Male,bachelor's degree,married,Southern,Corporate Employee,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1486.0,0.0,0.0,0.0,0.0
574,0.0,37,Male,vocational certificate,single,Central,Corporate Employee,20190.64,0.0,500.0,974.0,0.0,0.0,250.0,1140.0,0.0,0.0,0.0,0.0,1215.85,0.0,0.0,2256.16,0.0,30.0,0.0,0.0
576,0.0,40,Female,high school,single,Central,Corporate Employee,0.0,0.0,127.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0
594,1.0,66,Female,master's degree,married,Central,Corporate Employee,26632.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.0,0.0,6928.0,1150.0,0.0,0.0,0.0,0.0,0.0
598,0.0,57,Male,high school,single,Central,Entrepreneur,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0
605,0.0,44,Female,master's degree,single,Central,Entrepreneur,0.0,7809.93,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.62,0.0,0.0,0.0,11518.75
607,0.0,28,Female,vocational certificate,single,Northeastern,Entrepreneur,0.0,648.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,0.0,0.0,0.0,0.0,0.0
608,1.0,33,Female,bachelor's degree,single,Eastern,Corporate Employee,2235.0,3164.47,13681.06,13681.06,0.0,0.0,0.0,0.0,0.0,0.0,1755.18,0.0,0.0,345.0,1755.18,1600.7199999999998,0.0,0.0,0.0,0.0
610,0.0,27,Female,high school,single,Northeastern,Corporate Employee,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550.0,10000.0,0.0,2500.0,2050.0,50.0,0.0,159.0,0.0,0.0
612,0.0,49,Female,vocational certificate,single,Central,Corporate Employee,0.0,2274.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2395.0,0.0,746.86,0.0,0.0,0.0,0.0
613,0.0,41,Male,bachelor's degree,single,Northeastern,Corporate Employee,1081.0,20035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67660.0,0.0,0.0,0.0,0.0
615,0.0,58,Female,vocational certificate,divorce,Southern,Unemployed,6400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,248.0,0.0
616,0.0,51,Female,master's degree,widow,Central,Professional,600.0,0.0,5324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,0.0,7000.0,0.0,0.0,0.0,430.0,0.0
625,0.0,59,Female,high school,single,Central,Entrepreneur,0.0,33019.9,1000.0,0.0,0.0,0.0,4110.0,0.0,0.0,5525.0,0.0,0.0,19237.6,39256.3,0.0,8635.029999999999,0.0,0.0,480.0,0.0
630,0.0,52,Male,master's degree,married,Central,Professional,62356.23,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26722.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,0.0,34,Female,bachelor's degree,single,Southern,Freelancer,0.0,0.0,1309.5,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,1333.65,0.0,1149.19,0.0,0.0
635,0.0,45,Female,bachelor's degree,single,Central,Corporate Employee,6667.97,2784.14,227.0,0.0,7840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,2140.0,0.0,0.0,0.0,0.0
636,0.0,50,Female,bachelor's degree,married,Central,Entrepreneur,13500.0,571.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,910.58,0.0,0.0,0.0,0.0
639,0.0,41,Male,high school,single,Central,Corporate Employee,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0
640,0.0,44,Female,high school,married,Central,Freelancer,0.0,519.07,3324.82,0.0,0.0,0.0,0.0,1174.07,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0
652,0.0,32,Female,bachelor's degree,single,Central,Corporate Employee,5945.83,4437.86,3710.15,3510.15,0.0,0.0,0.0,0.0,0.0,0.0,3038.28,0.0,0.0,8900.0,2356.28,2836.42,1390.0,0.0,1863.26,0.0
659,0.0,38,Male,others,married,Central,Professional,0.0,0.0,223.0,223.0,0.0,155.0,79.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2420.0,0.0,0.0,0.0,0.0
661,1.0,62,Female,bachelor's degree,single,Central,Corporate Employee,12710.0,378.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6369.0,0.0,0.0,0.0,0.0,0.0,0.0
662,1.0,52,Male,doctorate's degree,married,Central,Corporate Employee,100640.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64268.350000000006,26827.1,30000.0,0.0,0.0,0.0,0.0,0.0
664,0.0,53,Male,bachelor's degree,single,Central,Freelancer,0.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,0.0,0.0,0.0,0.0
679,0.0,38,Female,high school,married,Eastern,Entrepreneur,0.0,757.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8308.2,0.0,2500.0,0.0,5900.0,0.0,0.0,120.0,0.0,0.0
